sample.id	Name	Title	Time	Type	Name2	Name1	Name3	name	X0	pro	total	bac	ph	pl	pt	Pro	Total	Bac	Ph	Pl	Pt	time	type	pro_type	vbr	vbr2	type.1	hooh	type1
X1	P11_0	P	0	P_0	0	P_1	P11	11-N0	1	9427585.408	12182017.54	2754432.136	NA	NA	NA	6.974400476	7.085719221	6.440032077	#NUM!	#NUM!	#NUM!	0	P	NATL1A	NA		NATL1A_P	7.716153756	P
X8	P12_0	P	0	P_0	0	P_2	P12	12-N0	2	9176367.173	11691783.63	2515416.453	NA	NA	NA	6.962670783	7.067880769	6.400609897	#NUM!	#NUM!	#NUM!	0	P	NATL1A	NA		NATL1A_P	7.722892868	P
X15	P13_0	P	0	P_0	0	P_3	P13	13-N0	3	8660127.503	12598421.05	3938293.549	NA	NA	NA	6.937524286	7.100316119	6.595308084	#NUM!	#NUM!	#NUM!	0	P	NATL1A	NA		NATL1A_P	8.127232599	P
X22	P21_0	PC	0	PC_0	0	P_1	P21	21-N0	4	7989291.997	9654064.327	1664772.33	472946.1963	1234304.027	1707250.223	6.902508294	6.984710188	6.221354849	5.674811737	6.091422146	6.232297178	0	PC	NATL1A	0.213692305	-0.670211116	NATL1A_PC	8.848305603	PC
X29	P22_0	PC	0	PC_0	0	P_2	P22	22-N0	5	6971996.178	9045701.754	2073705.577	584804.4686	1304187.371	1888991.84	6.84335714	6.956442265	6.316747096	5.767010683	6.115339991	6.276230082	0	PC	NATL1A	0.270939885	-0.567127058	NATL1A_PC	8.470921319	PC
X36	P23_0	PC	0	PC_0	0	P_3	P23	23-N0	6	6005772.197	9178596.491	3172824.294	367236	739363.0455	1106599.046	6.778568855	6.962776278	6.501446022	5.564945248	5.86885774	6.043990291	0	PC	NATL1A	0.184255914	-0.734578564	NATL1A_PC	8.875261049	PC
X43	P31_0	PAC	0	PAC_0	0	P_1	P31	31-N0	7	6780131.702	13034759.72	6254628.018	287508.4731	1102319.72	1389828.193	6.83123813	7.11510303	6.796201486	5.458650648	6.042307577	6.142961117	0	PAC	NATL1A	0.204985427	-0.688277013	NATL1A_PAC	9.589594941	PAC
X50	P32_0	PAC	0	PAC_0	0	P_2	P32	32-N0	8	7986531.357	12522950.37	4536419.013	239802.6652	938039.6275	1177842.293	6.902358201	7.097706659	6.656713162	5.379854006	5.972221186	6.071087144	0	PAC	NATL1A	0.147478579	-0.831271057	NATL1A_PAC	8.470921319	PAC
X57	P33_0	PAC	0	PAC_0	0	P_3	P33	33-N0	9	7271525.612	11371967.47	4100441.863	318786.9047	880633.5565	1199420.461	6.861625538	7.055835609	6.612830659	5.503500473	5.94479523	6.078971453	0	PAC	NATL1A	0.164947567	-0.782654085	NATL1A_PAC	9.508726593	PAC
X64	P41_0	PR	0	PR_0	0	P_1	P41	41-N0	10	7797427.521	9361695.906	1564268.386	1550010.204	3955786.954	5505797.159	6.891951347	6.97135453	6.194311268	6.190334557	6.597232894	6.740820207	0	PR	NATL1A	3.519726672	0.546508939	NATL1A_PR	7.830716662	PR
X71	P42_0	PR	0	PR_0	0	P_2	P42	42-N0	11	7421980.489	8242426.901	820446.412	2250958.586	3573008.186	5823966.772	6.870519808	6.916055104	5.91405022	6.352367505	6.553034011	6.765218888	0	PR	NATL1A	7.098534025	0.851168668	NATL1A_PR	8.16766627	PR
X78	P43_0	PR	0	PR_0	0	P_3	P43	43-N0	12	7840217.44	9338070.175	1497852.735	2380301.34	4488848.04	6869149.38	6.894328108	6.970257133	6.175469117	6.376631941	6.652134904	6.836902961	0	PR	NATL1A	4.58599782	0.661433844	NATL1A_PR	8.093537035	PR
X85	P51_0	PA	0	PA_0	0	P_1	P51	51-N0	13	8385443.829	13485764.62	5100320.792	NA	NA	NA	6.923526054	7.129875575	6.707597493	#NUM!	#NUM!	#NUM!	0	PA	NATL1A	NA	#NUM!	NATL1A_PA	8.147448932	PA
X92	P52_0	PA	0	PA_0	0	P_2	P52	52-N0	14	8265355.991	10765480.41	2500124.414	NA	NA	NA	6.917261564	7.032033415	6.397961621	#NUM!	#NUM!	#NUM!	0	PA	NATL1A	NA	#NUM!	NATL1A_PA	7.891367672	PA
X99	P53_0	PA	0	PA_0	0	P_3	P53	53-N0	15	7528265.126	12312898.75	4784633.627	NA	NA	NA	6.876694905	7.090360308	6.679848688	#NUM!	#NUM!	#NUM!	0	PA	NATL1A	NA	#NUM!	NATL1A_PA	8.127232599	PA
X106	P61_0	PAR	0	PAR_0	0	P_1	P61	61-N0	16	7579336.965	10317980.73	2738643.762	1550010.204	3955786.954	5505797.159	6.879631216	7.013594712	6.437535544	6.190334557	6.597232894	6.740820207	0	PAR	NATL1A	2.010410129	0.303284664	NATL1A_PAR	8.430487647	PAR
X113	P62_0	PAR	0	PAR_0	0	P_2	P62	62-N0	17	8091435.675	10760609.64	2669173.96	2250958.586	3573008.186	5823966.772	6.908025586	7.031836877	6.426376879	6.352367505	6.553034011	6.765218888	0	PAR	NATL1A	2.181936007	0.338842009	NATL1A_PAR	8.012669692	PAR
X120	P63_0	PAR	0	PAR_0	0	P_3	P63	63-N0	18	7798807.841	8813559.472	1014751.631	2380301.34	4488848.04	6869149.38	6.89202822	6.945151339	6.006359758	6.376631941	6.652134904	6.836902961	0	PAR	NATL1A	6.769291292	0.830543203	NATL1A_PAR	8.187883608	PAR
X2	P11_1	P	3	P_1	1	P_1	P11	11-N1	37	21947087.55	10864883.04	-11082204.51	NA	NA	NA	7.341376896	7.036025056	#NUM!	#NUM!	#NUM!	#NUM!	3	P	NATL1A	NA	#NUM!	NATL1A_P	5.470905387	P
X9	P12_1	P	3	P_1	1	P_2	P12	12-N1	38	19385213.68	14854678.36	-4530535.322	NA	NA	NA	7.287470593	7.171863253	#NUM!	#NUM!	#NUM!	#NUM!	3	P	NATL1A	NA	#NUM!	NATL1A_P	5.770846007	P
X16	P13_1	P	3	P_1	1	P_3	P13	13-N1	39	18457638.66	14600701.75	-3856936.909	NA	NA	NA	7.26617614	7.16437373	#NUM!	#NUM!	#NUM!	#NUM!	3	P	NATL1A	NA	#NUM!	NATL1A_P	5.374924746	P
X23	P21_1	PC	3	PC_1	1	P_1	P21	21-N1	40	2031278.871	9760380.117	7729101.246	7136965.857	60422848.35	67559814.21	6.307769551	6.989466732	6.888128996	6.853513619	can	7.829688447	3	PC	NATL1A	33.2597435	1.521918896	NATL1A_PC	5.674865366	PC
X30	P22_1	PC	3	PC_1	1	P_2	P22	22-N1	41	1515039.201	9152017.544	7636978.343	1949222.696	27536589.58	29485812.28	6.18042387	6.961516844	6.882921559	6.289861459	7.439910152	7.469613096	3	PC	NATL1A	19.46207878	1.289189226	NATL1A_PC	5.476904289	PC
X37	P23_1	PC	3	PC_1	1	P_3	P23	23-N1	42	1544578.048	8189269.006	6644690.957	5497873.394	49886191.57	55384064.96	6.188809858	6.913245137	6.822474787	6.740194735	7.69798035	7.743384828	3	PC	NATL1A	35.85708409	1.55457497	NATL1A_PC	5.152969849	PC
X44	P31_1	PAC	3	PAC_1	1	P_1	P31	31-N1	43	15433817.71	17471228.07	2037410.358	4533212.469	35490322	40023534.46	7.188473367	7.242323433	6.30907851	6.656406075	7.55010994	7.602315438	3	PAC	NATL1A	2.593236179	0.413842072	NATL1A_PAC	6.754648916	PAC
X51	P32_1	PAC	3	PAC_1	1	P_2	P32	32-N1	44	14956153.38	18788362.57	3832209.189	2981308.077	43735025.05	46716333.12	7.17481991	7.273888932	6.583449208	6.474406857	7.64082938	7.669468747	3	PAC	NATL1A	3.123552689	0.494648836	NATL1A_PAC	5.956808387	PAC
X58	P33_1	PAC	3	PAC_1	1	P_3	P33	33-N1	45	14253515.31	14444181.29	190665.9806	3730312.525	24873833.72	28604146.25	7.153921986	7.159692931	5.280273211	6.571745218	7.395742727	7.45642899	3	PAC	NATL1A	2.006813451	0.302507003	NATL1A_PAC	6.082783536	PAC
