0,name,PerCP-Cy5-5-A,SSC-A,u1,u2,max,pro,type
1,11,4.084095064,0.081331988,0.340680092,,262039943.5,AS9601,P
2,12,3.708407871,0.075715801,0.341159383,,237580673.6,AS9601,P
3,13,3.231932773,0.066982688,0.343453013,,241832059.1,AS9601,P
4,21,5.066546763,0.094854965,0.474600718,0.314715074,167156748.6,AS9601,PC
5,22,5.171206226,0.083070452,0.472193567,0.334347837,177398722.8,AS9601,PC
6,23,4.9943074,0.07885526,0.450958583,0.334650014,184880057,AS9601,PC
7,31,4.976146789,0.085197235,0.488660136,0.341412808,152194080.1,AS9601,PAC
8,32,4.842883549,0.089332527,0.442785508,0.310162137,164368502.2,AS9601,PAC
9,33,4.771992819,0.0839745,0.391040012,0.363692283,152497750.5,AS9601,PAC
10,41,3.716141002,0.080920107,0.33730344,,257070791.6,AS9601,PR
11,42,3.703632887,0.074858141,0.359676311,,241942484.7,AS9601,PR
12,43,3.363984674,0.073585283,0.35976952,,240727803.1,AS9601,PR
13,51,3.653696498,0.075290757,0.282262491,,238436471.9,AS9601,PA
14,52,3.544626594,0.070527891,0.290518376,,234157480,AS9601,PA
15,53,3.254826255,0.071778488,0.307497892,,248623233.3,AS9601,PA
16,61,3.648409894,0.076537768,0.385116724,,269328032.9,AS9601,PAR
17,62,3.880626223,0.075922819,0.36762895,,258175047.5,AS9601,PAR
18,63,3.40459364,0.076044047,0.3751425,,258727175.5,AS9601,PAR
19,71,3.862135922,0.079332372,0.409011183,,286499213.4,NATL1A,P
20,72,3.431616341,0.072553191,0.49721577,,297873049.9,NATL1A,P
21,73,3.372972973,0.068345324,0.434435173,,273855482.4,NATL1A,P
22,81,4.110526316,0.074487518,0.417803057,0.365474701,210968104.5,NATL1A,PC
23,82,3.867857143,0.071602434,0.501027373,0.368301639,197026872.8,NATL1A,PC
24,83,4.062271062,0.076332795,0.442991907,0.362804243,230375403.3,NATL1A,PC
25,91,3.054409006,0.061551989,0.360202254,,257236430,NATL1A,PR
26,92,3.250965251,0.063354787,0.381320152,,293290387.6,NATL1A,PR
27,93,3.223506744,0.062065972,0.482213825,,270101012.1,NATL1A,PR
28,101,4.112359551,0.083739665,0.397209406,,243350411,NATL1A,PA
29,102,3.893992933,0.079314721,0.44121792,,205778101.4,NATL1A,PA
30,103,4.332053743,0.073296273,0.448074183,,225709921.8,NATL1A,PA
31,111,4.100182149,0.079429302,0.411562953,0.411562953,237442641.6,NATL1A,PAC
32,112,4.511882998,0.082681328,0.46821844,0.46821844,244565092.6,NATL1A,PAC
33,113,4.501831502,0.076638586,0.498344164,0.41121909,197937884,NATL1A,PAC
34,121,3.519762846,0.067873303,0.556666762,,297652198.7,NATL1A,PAR
35,122,3.957692308,0.076726886,0.632856992,,268610266.5,NATL1A,PAR
36,123,3.740034662,0.072584078,0.609286384,,302676563.4,NATL1A,PAR
