name	variable	variable2	value	pro	type	type1	type2	type2
11	PerCP.Cy5.5.A	PerCP.Cy5.5.A	4.084095064	NATL1A	P	P	NATL1A_PerCP.Cy5.5.A	NATL1A_PerCP.Cy5.5.A
12	PerCP.Cy5.5.A	PerCP.Cy5.5.A	3.708407871	NATL1A	P	P	NATL1A_PerCP.Cy5.5.A	NATL1A_PerCP.Cy5.5.A
13	PerCP.Cy5.5.A	PerCP.Cy5.5.A	3.231932773	NATL1A	P	P	NATL1A_PerCP.Cy5.5.A	NATL1A_PerCP.Cy5.5.A
21	PerCP.Cy5.5.A	PerCP.Cy5.5.A	5.066546763	NATL1A	PC	PC	NATL1A_PerCP.Cy5.5.A	NATL1A_PerCP.Cy5.5.A
22	PerCP.Cy5.5.A	PerCP.Cy5.5.A	5.171206226	NATL1A	PC	PC	NATL1A_PerCP.Cy5.5.A	NATL1A_PerCP.Cy5.5.A
23	PerCP.Cy5.5.A	PerCP.Cy5.5.A	4.9943074	NATL1A	PC	PC	NATL1A_PerCP.Cy5.5.A	NATL1A_PerCP.Cy5.5.A
31	PerCP.Cy5.5.A	PerCP.Cy5.5.A	4.976146789	NATL1A	PAC	PAC	NATL1A_PerCP.Cy5.5.A	NATL1A_PerCP.Cy5.5.A
32	PerCP.Cy5.5.A	PerCP.Cy5.5.A	4.842883549	NATL1A	PAC	PAC	NATL1A_PerCP.Cy5.5.A	NATL1A_PerCP.Cy5.5.A
33	PerCP.Cy5.5.A	PerCP.Cy5.5.A	4.771992819	NATL1A	PAC	PAC	NATL1A_PerCP.Cy5.5.A	NATL1A_PerCP.Cy5.5.A
41	PerCP.Cy5.5.A	PerCP.Cy5.5.A	3.716141002	NATL1A	PR	PR	NATL1A_PerCP.Cy5.5.A	NATL1A_PerCP.Cy5.5.A
42	PerCP.Cy5.5.A	PerCP.Cy5.5.A	3.703632887	NATL1A	PR	PR	NATL1A_PerCP.Cy5.5.A	NATL1A_PerCP.Cy5.5.A
43	PerCP.Cy5.5.A	PerCP.Cy5.5.A	3.363984674	NATL1A	PR	PR	NATL1A_PerCP.Cy5.5.A	NATL1A_PerCP.Cy5.5.A
51	PerCP.Cy5.5.A	PerCP.Cy5.5.A	3.653696498	NATL1A	PA	PA	NATL1A_PerCP.Cy5.5.A	NATL1A_PerCP.Cy5.5.A
52	PerCP.Cy5.5.A	PerCP.Cy5.5.A	3.544626594	NATL1A	PA	PA	NATL1A_PerCP.Cy5.5.A	NATL1A_PerCP.Cy5.5.A
53	PerCP.Cy5.5.A	PerCP.Cy5.5.A	3.254826255	NATL1A	PA	PA	NATL1A_PerCP.Cy5.5.A	NATL1A_PerCP.Cy5.5.A
61	PerCP.Cy5.5.A	PerCP.Cy5.5.A	3.648409894	NATL1A	PAR	PAR	NATL1A_PerCP.Cy5.5.A	NATL1A_PerCP.Cy5.5.A
62	PerCP.Cy5.5.A	PerCP.Cy5.5.A	3.880626223	NATL1A	PAR	PAR	NATL1A_PerCP.Cy5.5.A	NATL1A_PerCP.Cy5.5.A
63	PerCP.Cy5.5.A	PerCP.Cy5.5.A	3.40459364	NATL1A	PAR	PAR	NATL1A_PerCP.Cy5.5.A	NATL1A_PerCP.Cy5.5.A
11	SSC.A	SSC.A	0.081331988	NATL1A	P	P	NATL1A_SSC.A	NATL1A_SSC.A
12	SSC.A	SSC.A	0.075715801	NATL1A	P	P	NATL1A_SSC.A	NATL1A_SSC.A
13	SSC.A	SSC.A	0.066982688	NATL1A	P	P	NATL1A_SSC.A	NATL1A_SSC.A
21	SSC.A	SSC.A	0.094854965	NATL1A	PC	PC	NATL1A_SSC.A	NATL1A_SSC.A
22	SSC.A	SSC.A	0.083070452	NATL1A	PC	PC	NATL1A_SSC.A	NATL1A_SSC.A
23	SSC.A	SSC.A	0.07885526	NATL1A	PC	PC	NATL1A_SSC.A	NATL1A_SSC.A
31	SSC.A	SSC.A	0.085197235	NATL1A	PAC	PAC	NATL1A_SSC.A	NATL1A_SSC.A
32	SSC.A	SSC.A	0.089332527	NATL1A	PAC	PAC	NATL1A_SSC.A	NATL1A_SSC.A
