type	pro_type	time	N	value	sd	se	ci	ID	parameter	ID_type	value	sd	se	ci
P	NATL1A	0	3	9.09E+06	3.91E+05	2.26E+05	9.72E+05	NATL1A_P_0	pro	NATL1A_P	6.958198515	0.018840495	0.010877565	0.046802383
P	NATL1A	3	3	1.99E+07	1.81E+06	1.04E+06	4.49E+06	NATL1A_P_3	pro	NATL1A_P	7.29834121	0.038761013	0.022378681	0.096287695
P	NATL1A	6	3	4.35E+07	9.70E+05	5.60E+05	2.41E+06	NATL1A_P_6	pro	NATL1A_P	7.638604384	0.009671097	0.00558361	0.024024336
P	NATL1A	9	3	1.21E+08	3.22E+06	1.86E+06	8.00E+06	NATL1A_P_9	pro	NATL1A_P	8.083883254	0.011513291	0.006647202	0.028600601
P	NATL1A	12	3	1.68E+08	1.07E+07	6.15E+06	2.65E+07	NATL1A_P_12	pro	NATL1A_P	8.22436269	0.028096436	0.016221485	0.069795415
P	NATL1A	14	3	2.27E+08	2.51E+07	1.45E+07	6.24E+07	NATL1A_P_14	pro	NATL1A_P	8.354014252	0.047094383	0.027189955	0.116988933
P	NATL1A	18	3	2.11E+08	1.60E+07	9.25E+06	3.98E+07	NATL1A_P_18	pro	NATL1A_P	8.3224698	0.032439945	0.018729211	0.080585292
P	NATL1A	21	3	2.07E+08	1.39E+07	8.05E+06	3.46E+07	NATL1A_P_21	pro	NATL1A_P	8.314466773	0.029881358	0.01725201	0.074229408
P	NATL1A	24	3	2.41E+08	4.50E+06	2.60E+06	1.12E+07	NATL1A_P_24	pro	NATL1A_P	8.382470774	0.008110464	0.004682578	0.020147508
P	NATL1A	30	3	2.13E+08	2.15E+07	1.24E+07	5.33E+07	NATL1A_P_30	pro	NATL1A_P	8.326902963	0.042718636	0.024663616	0.106118976
P	NATL1A	33	3	2.01E+08	4.34E+06	2.51E+06	1.08E+07	NATL1A_P_33	pro	NATL1A_P	8.304146502	0.009349113	0.005397713	0.023224483
P	NATL1A	36	3	2.03E+08	6.39E+06	3.69E+06	1.59E+07	NATL1A_P_36	pro	NATL1A_P	8.306362642	0.013830101	0.007984813	0.034355876
P	NATL1A	42	3	2.37E+08	2.20E+07	1.27E+07	5.46E+07	NATL1A_P_42	pro	NATL1A_P	8.373134304	0.039409037	0.022752818	0.097897474
P	NATL1A	45	3	2.16E+08	5.68E+06	3.28E+06	1.41E+07	NATL1A_P_45	pro	NATL1A_P	8.333355534	0.011514221	0.006647738	0.02860291
PA	NATL1A	0	3	8.06E+06	4.64E+05	2.68E+05	1.15E+06	NATL1A_PA_0	pro	NATL1A_PA	6.905827508	0.025423264	0.014678128	0.063154889
PA	NATL1A	3	3	1.92E+07	4.62E+05	2.67E+05	1.15E+06	NATL1A_PA_3	pro	NATL1A_PA	7.283817551	0.010366449	0.005985072	0.025751686
PA	NATL1A	6	3	4.36E+07	1.63E+06	9.41E+05	4.05E+06	NATL1A_PA_6	pro	NATL1A_PA	7.638984854	0.016410455	0.009474581	0.040765831
PA	NATL1A	9	3	9.45E+07	1.90E+06	1.10E+06	4.71E+06	NATL1A_PA_9	pro	NATL1A_PA	7.97533759	0.008671602	0.005006552	0.021541453
PA	NATL1A	12	3	1.15E+08	1.71E+07	9.87E+06	4.25E+07	NATL1A_PA_12	pro	NATL1A_PA	8.057653097	0.064808611	0.037417269	0.160993515
PA	NATL1A	14	3	1.27E+08	2.67E+07	1.54E+07	6.64E+07	NATL1A_PA_14	pro	NATL1A_PA	8.098978714	0.088913845	0.051334432	0.220874235
PA	NATL1A	18	3	2.30E+08	1.49E+07	8.61E+06	3.70E+07	NATL1A_PA_18	pro	NATL1A_PA	8.360698331	0.02875027	0.016598976	0.071419629
PA	NATL1A	21	3	2.08E+08	9.51E+06	5.49E+06	2.36E+07	NATL1A_PA_21	pro	NATL1A_PA	8.317037192	0.020000189	0.011547114	0.049683224
PA	NATL1A	24	3	2.31E+08	1.94E+07	1.12E+07	4.83E+07	NATL1A_PA_24	pro	NATL1A_PA	8.362519431	0.037014743	0.021370472	0.091949718
PA	NATL1A	30	3	2.19E+08	1.07E+07	6.16E+06	2.65E+07	NATL1A_PA_30	pro	NATL1A_PA	8.339575896	0.021060178	0.012159099	0.052316382
PA	NATL1A	33	3	2.14E+08	1.28E+07	7.38E+06	3.17E+07	NATL1A_PA_33	pro	NATL1A_PA	8.330849199	0.025614853	0.014788742	0.063630823
PA	NATL1A	36	3	2.28E+08	6.22E+06	3.59E+06	1.55E+07	NATL1A_PA_36	pro	NATL1A_PA	8.357567375	0.011771341	0.006796187	0.029241633
PA	NATL1A	42	3	2.07E+08	1.14E+07	6.59E+06	2.83E+07	NATL1A_PA_42	pro	NATL1A_PA	8.316355806	0.024294723	0.014026565	0.060351437
PA	NATL1A	45	2	2.12E+08	1.31E+07	9.28E+06	1.18E+08	NATL1A_PA_45	pro	NATL1A_PA	8.325954956	0.026887764	0.01901252	0.241576972
PAC	NATL1A	0	3	7.35E+06	6.07E+05	3.50E+05	1.51E+06	NATL1A_PAC_0	pro	NATL1A_PAC	6.865073956	0.035685218	0.02060287	0.088646997
PAC	NATL1A	3	3	1.49E+07	5.94E+05	3.43E+05	1.47E+06	NATL1A_PAC_3	pro	NATL1A_PAC	7.172405088	0.01740181	0.01004694	0.043228494
PAC	NATL1A	6	3	2.29E+05	3.63E+04	2.09E+04	9.01E+04	NATL1A_PAC_6	pro	NATL1A_PAC	5.357085255	0.066040562	0.038128536	0.16405385
