type	pro_type	time	N	value	sd	se	ci	ID	parameter	ID_type	parameter1
P	NATL1A	0	3	6.958198515	0.018840495	0.010877565	0.046802383	NATL1A_P_0	pro	NATL1A_P	pro
P	NATL1A	3	3	7.29834121	0.038761013	0.022378681	0.096287695	NATL1A_P_3	pro	NATL1A_P	pro
P	NATL1A	6	3	7.638604384	0.009671097	0.00558361	0.024024336	NATL1A_P_6	pro	NATL1A_P	pro
P	NATL1A	9	3	8.083883254	0.011513291	0.006647202	0.028600601	NATL1A_P_9	pro	NATL1A_P	pro
P	NATL1A	12	3	8.22436269	0.028096436	0.016221485	0.069795415	NATL1A_P_12	pro	NATL1A_P	pro
P	NATL1A	14	3	8.354014252	0.047094383	0.027189955	0.116988933	NATL1A_P_14	pro	NATL1A_P	pro
P	NATL1A	18	3	8.3224698	0.032439945	0.018729211	0.080585292	NATL1A_P_18	pro	NATL1A_P	pro
P	NATL1A	21	3	8.314466773	0.029881358	0.01725201	0.074229408	NATL1A_P_21	pro	NATL1A_P	pro
P	NATL1A	24	3	8.382470774	0.008110464	0.004682578	0.020147508	NATL1A_P_24	pro	NATL1A_P	pro
P	NATL1A	30	3	8.326902963	0.042718636	0.024663616	0.106118976	NATL1A_P_30	pro	NATL1A_P	pro
P	NATL1A	33	3	8.304146502	0.009349113	0.005397713	0.023224483	NATL1A_P_33	pro	NATL1A_P	pro
P	NATL1A	36	3	8.306362642	0.013830101	0.007984813	0.034355876	NATL1A_P_36	pro	NATL1A_P	pro
P	NATL1A	42	3	8.373134304	0.039409037	0.022752818	0.097897474	NATL1A_P_42	pro	NATL1A_P	pro
P	NATL1A	45	3	8.333355534	0.011514221	0.006647738	0.02860291	NATL1A_P_45	pro	NATL1A_P	pro
PA	NATL1A	0	3	6.905827508	0.025423264	0.014678128	0.063154889	NATL1A_PA_0	pro	NATL1A_PA	pro
PA	NATL1A	3	3	7.283817551	0.010366449	0.005985072	0.025751686	NATL1A_PA_3	pro	NATL1A_PA	pro
PA	NATL1A	6	3	7.638984854	0.016410455	0.009474581	0.040765831	NATL1A_PA_6	pro	NATL1A_PA	pro
PA	NATL1A	9	3	7.97533759	0.008671602	0.005006552	0.021541453	NATL1A_PA_9	pro	NATL1A_PA	pro
