GID	P1_vs_P5	P2_vs_P7	P4_vs_P6
R8W_3	NA	NA	NA
R8W_47	NA	NA	NA
EZ55_2_43	NA	NA	NA
R8W_52	NA	NA	NA
R8W_41	NA	NA	NA
R8W_46	NA	NA	NA
R8W_19	NA	NA	NA
R8W_13	NA	NA	NA
R8W_43	NA	NA	NA
EZ55_18_145	NA	NA	NA
EZ55_43_250	NA	NA	NA
EZ55_14_12	NA	NA	NA
R8W_4	NA	NA	NA
R8W_40	NA	NA	NA
EZ55_66_3	NA	NA	NA
R8W_17	NA	NA	NA
R8W_35	NA	NA	NA
R8W_21	NA	NA	NA
R8W_14	NA	NA	NA
R8W_28	NA	NA	NA
EZ55_18_16	NA	NA	NA
EZ55_39_168	NA	NA	NA
R8W_33	NA	NA	NA
R8W_53	NA	NA	NA
R8W_31	NA	NA	NA
R8W_51	NA	NA	NA
R8W_42	NA	NA	NA
R8W_49	NA	NA	NA
R8W_48	NA	NA	NA
EZ55_66_2	NA	NA	NA
EZ55_18_13	NA	NA	NA
R8W_23	NA	NA	NA
EZ55_21_76	NA	NA	NA
R8W_1	NA	NA	NA
EZ55_19_21	NA	NA	NA
EZ55_43_2	NA	NA	NA
R8W_29	NA	NA	NA
EZ55_19_105	NA	NA	NA
R8W_6	NA	NA	NA
R8W_7	NA	NA	NA
R8W_45	NA	NA	NA
R8W_18	NA	NA	NA
R8W_44	NA	NA	down
R8W_15	NA	NA	NA
EZ55_18_11	NA	NA	NA
EZ55_18_17	NA	NA	NA
R8W_25	NA	NA	NA
R8W_50	NA	NA	NA
R8W_5	NA	NA	NA
EZ55_41_54	NA	NA	NA
R8W_38	NA	NA	NA
EZ55_18_227	NA	NA	NA
R8W_32	NA	NA	NA
EZ55_21_74	NA	NA	NA
EZ55_18_19	NA	NA	NA
R8W_27	NA	NA	NA
EZ55_18_18	NA	NA	NA
EZ55_70_107	NA	NA	NA
R8W_37	NA	NA	NA
R8W_39	NA	NA	NA
EZ55_19_114	NA	NA	NA
EZ55_19_36	NA	NA	NA
EZ55_21_79	NA	NA	NA
EZ55_18_139	NA	NA	NA
EZ55_18_20	NA	NA	NA
EZ55_18_146	NA	NA	NA
EZ55_15_81	NA	NA	NA
EZ55_2_47	NA	NA	NA
EZ55_18_147	NA	NA	NA
EZ55_3_23	NA	NA	NA
EZ55_19_113	NA	NA	NA
R8W_11	NA	NA	NA
EZ55_14_3	NA	NA	NA
EZ55_60_100	NA	NA	NA
EZ55_43_11	NA	NA	NA
EZ55_18_9	NA	NA	NA
EZ55_18_228	NA	NA	NA
EZ55_4_106	NA	NA	NA
EZ55_2_46	NA	NA	NA
EZ55_1_23	NA	NA	NA
EZ55_60_31	NA	NA	NA
EZ55_18_110	NA	NA	NA
EZ55_13_24	NA	NA	NA
EZ55_60_362	NA	NA	NA
EZ55_19_104	NA	NA	NA
EZ55_40_2	NA	NA	NA
EZ55_27_8	NA	NA	NA
EZ55_32_37	NA	NA	NA
EZ55_18_15	NA	NA	NA
EZ55_60_267	NA	NA	NA
EZ55_21_77	NA	NA	NA
EZ55_2_45	NA	NA	NA
R8W_36	NA	NA	NA
EZ55_60_24	NA	NA	NA
EZ55_18_234	up	NA	NA
EZ55_15_37	NA	NA	NA
EZ55_60_97	NA	NA	NA
EZ55_60_363	NA	NA	NA
EZ55_43_253	NA	NA	NA
EZ55_6_10	NA	NA	NA
EZ55_13_25	NA	NA	NA
EZ55_15_39	NA	NA	NA
EZ55_18_214	NA	NA	NA
EZ55_18_144	NA	NA	NA
EZ55_21_75	NA	NA	NA
EZ55_1_11	NA	NA	NA
EZ55_35_32	NA	NA	NA
EZ55_60_27	NA	NA	NA
EZ55_60_30	NA	NA	NA
EZ55_12_31	NA	NA	NA
EZ55_30_29	NA	NA	NA
EZ55_18_215	NA	NA	NA
EZ55_43_229	NA	NA	NA
EZ55_39_167	NA	NA	NA
EZ55_21_78	NA	NA	NA
EZ55_1_34	NA	NA	NA
EZ55_60_101	up	NA	NA
EZ55_19_37	up	NA	NA
EZ55_2_48	up	NA	NA
EZ55_60_345	NA	NA	NA
EZ55_25_24	NA	NA	NA
EZ55_19_35	NA	NA	NA
EZ55_60_269	NA	NA	NA
EZ55_60_261	NA	NA	NA
EZ55_60_260	NA	NA	NA
EZ55_60_103	NA	NA	NA
EZ55_52_50	NA	NA	NA
EZ55_18_233	up	NA	NA
EZ55_19_61	NA	NA	NA
EZ55_3_20	NA	NA	NA
EZ55_59_29	NA	NA	NA
EZ55_43_116	NA	NA	NA
EZ55_21_91	NA	NA	NA
EZ55_60_278	NA	NA	NA
EZ55_60_202	NA	NA	NA
EZ55_15_42	up	NA	NA
EZ55_18_108	NA	NA	NA
EZ55_18_10	NA	NA	NA
EZ55_18_14	NA	NA	NA
EZ55_13_23	NA	NA	NA
EZ55_60_270	NA	NA	NA
EZ55_43_95	NA	NA	NA
EZ55_28_80	NA	NA	NA
EZ55_2_35	NA	NA	NA
R8W_24	NA	NA	NA
EZ55_60_283	up	NA	NA
EZ55_18_226	NA	NA	NA
EZ55_29_39	NA	NA	NA
EZ55_19_106	up	NA	NA
EZ55_43_238	NA	NA	NA
EZ55_24_1	NA	NA	NA
EZ55_18_210	up	NA	NA
EZ55_27_7	NA	NA	NA
EZ55_4_122	NA	NA	NA
R8W_34	NA	NA	NA
EZ55_13_43	up	NA	NA
EZ55_70_105	NA	NA	NA
EZ55_4_166	NA	NA	NA
EZ55_35_7	NA	NA	NA
EZ55_60_99	NA	NA	NA
EZ55_18_217	up	NA	NA
EZ55_21_80	NA	NA	NA
EZ55_18_12	up	NA	NA
EZ55_18_225	NA	NA	NA
EZ55_41_67	NA	NA	NA
EZ55_43_114	NA	NA	NA
EZ55_60_271	NA	NA	NA
EZ55_39_70	NA	NA	NA
EZ55_1_2	NA	NA	NA
EZ55_15_43	NA	NA	NA
EZ55_41_53	NA	NA	NA
EZ55_69_1	NA	NA	NA
EZ55_70_104	NA	NA	NA
EZ55_18_111	up	NA	NA
EZ55_43_56	up	NA	NA
EZ55_35_34	NA	NA	NA
EZ55_14_6	up	NA	NA
EZ55_14_10	up	NA	NA
EZ55_19_101	NA	NA	NA
EZ55_31_85	NA	NA	NA
EZ55_39_46	NA	NA	NA
EZ55_18_138	up	NA	NA
EZ55_6_11	NA	NA	NA
EZ55_60_54	NA	NA	NA
R8W_12	NA	NA	NA
EZ55_60_349	up	NA	NA
EZ55_18_216	NA	NA	NA
EZ55_43_10	NA	NA	NA
EZ55_30_64	NA	NA	NA
EZ55_42_111	NA	NA	NA
EZ55_14_14	NA	NA	NA
EZ55_15_80	NA	NA	NA
EZ55_70_86	up	NA	NA
EZ55_21_93	NA	NA	NA
EZ55_35_6	NA	NA	NA
EZ55_12_26	NA	NA	NA
EZ55_43_3	NA	NA	NA
EZ55_60_98	NA	NA	NA
EZ55_14_9	NA	NA	NA
EZ55_59_22	NA	NA	NA
EZ55_60_165	up	NA	NA
EZ55_19_26	NA	NA	NA
EZ55_18_109	NA	NA	NA
EZ55_60_62	NA	NA	NA
EZ55_10_20	up	NA	NA
EZ55_31_83	NA	NA	NA
EZ55_43_97	NA	NA	NA
EZ55_18_36	NA	NA	NA
EZ55_60_268	NA	NA	NA
EZ55_19_22	NA	NA	NA
EZ55_6_7	up	NA	NA
EZ55_13_89	NA	NA	NA
EZ55_4_158	up	NA	NA
EZ55_1_12	up	NA	NA
EZ55_19_107	NA	NA	NA
EZ55_1_18	NA	NA	NA
EZ55_18_7	up	NA	NA
EZ55_18_229	NA	NA	NA
EZ55_17_7	NA	NA	NA
EZ55_1_9	NA	NA	NA
EZ55_60_183	NA	NA	NA
EZ55_4_41	NA	NA	NA
EZ55_3_2	NA	NA	NA
EZ55_1_41	up	NA	NA
EZ55_43_240	NA	NA	NA
EZ55_3_30	NA	NA	NA
EZ55_41_52	NA	NA	NA
EZ55_60_266	up	NA	NA
EZ55_14_5	NA	NA	NA
EZ55_15_73	NA	NA	NA
EZ55_15_79	NA	NA	NA
EZ55_14_13	up	NA	NA
EZ55_4_157	NA	NA	NA
EZ55_1_19	up	NA	NA
EZ55_15_2	NA	NA	NA
EZ55_32_8	NA	NA	NA
EZ55_2_120	NA	NA	NA
EZ55_18_163	NA	NA	NA
EZ55_19_20	NA	NA	NA
EZ55_3_14	up	NA	NA
EZ55_12_1	NA	NA	NA
EZ55_60_337	NA	NA	NA
EZ55_43_252	NA	NA	NA
EZ55_41_63	NA	NA	NA
EZ55_39_99	NA	NA	NA
EZ55_35_40	NA	NA	NA
EZ55_19_58	NA	NA	NA
EZ55_19_115	up	NA	NA
EZ55_60_348	NA	NA	NA
EZ55_21_94	NA	NA	NA
EZ55_18_124	up	NA	NA
EZ55_10_13	NA	NA	NA
EZ55_12_2	up	NA	NA
EZ55_43_239	NA	NA	NA
EZ55_1_20	NA	NA	NA
EZ55_43_115	NA	NA	NA
EZ55_35_17	NA	NA	NA
EZ55_18_23	NA	NA	NA
EZ55_21_15	NA	NA	NA
EZ55_60_297	NA	NA	NA
EZ55_17_8	up	NA	NA
EZ55_49_20	NA	NA	NA
EZ55_39_71	up	NA	NA
EZ55_28_78	up	NA	NA
EZ55_28_22	NA	NA	NA
EZ55_65_39	NA	NA	NA
EZ55_12_6	up	NA	NA
EZ55_3_26	NA	NA	NA
EZ55_70_108	NA	NA	NA
EZ55_12_3	NA	NA	NA
EZ55_4_163	up	NA	NA
EZ55_31_123	up	NA	NA
EZ55_18_143	up	NA	NA
EZ55_42_13	up	NA	NA
EZ55_52_21	NA	NA	NA
EZ55_13_48	NA	NA	NA
EZ55_28_127	NA	NA	NA
EZ55_70_73	NA	NA	NA
EZ55_37_31	NA	NA	NA
EZ55_60_347	up	NA	NA
EZ55_43_9	NA	NA	NA
EZ55_14_11	NA	NA	NA
EZ55_60_256	up	NA	NA
EZ55_39_69	up	NA	NA
EZ55_28_23	up	NA	NA
EZ55_60_55	NA	NA	NA
EZ55_9_14	NA	NA	NA
EZ55_18_135	up	NA	NA
EZ55_42_35	NA	NA	NA
EZ55_35_4	NA	NA	NA
EZ55_18_213	NA	NA	NA
EZ55_18_21	NA	NA	NA
EZ55_49_3	NA	NA	NA
EZ55_70_164	up	NA	NA
EZ55_6_15	NA	NA	NA
EZ55_28_79	up	NA	NA
EZ55_21_82	up	NA	NA
EZ55_9_1	NA	NA	NA
EZ55_37_32	NA	NA	NA
EZ55_32_35	NA	NA	NA
EZ55_18_140	up	NA	NA
EZ55_60_133	NA	NA	NA
EZ55_13_92	NA	NA	NA
EZ55_35_16	up	NA	NA
EZ55_2_121	up	NA	NA
EZ55_43_249	up	NA	NA
