Pathway,Definition
ko00010,Glycolysis / Gluconeogenesis
ko00020,Citrate cycle (TCA cycle)
ko00030,Pentose phosphate pathway
ko00040,Pentose and glucuronate interconversions
ko00051,Fructose and mannose metabolism
ko00052,Galactose metabolism
ko00053,Ascorbate and aldarate metabolism
ko00061,Fatty acid biosynthesis
ko00062,Fatty acid elongation
ko00071,Fatty acid degradation
ko00072,Synthesis and degradation of ketone bodies
ko00073,"Cutin, suberine and wax biosynthesis"
ko00100,Steroid biosynthesis
ko00120,Primary bile acid biosynthesis
ko00121,Secondary bile acid biosynthesis
ko00130,Ubiquinone and other terpenoid-quinone biosynthesis
ko00140,Steroid hormone biosynthesis
ko00190,Oxidative phosphorylation
ko00195,Photosynthesis
ko00196,Photosynthesis - antenna proteins
ko00220,Arginine biosynthesis
ko00230,Purine metabolism
ko00232,Caffeine metabolism
ko00240,Pyrimidine metabolism
ko00250,"Alanine, aspartate and glutamate metabolism"
ko00260,"Glycine, serine and threonine metabolism"
ko00261,Monobactam biosynthesis
ko00270,Cysteine and methionine metabolism
ko00280,"Valine, leucine and isoleucine degradation"
ko00281,Geraniol degradation
ko00290,"Valine, leucine and isoleucine biosynthesis"
ko00300,Lysine biosynthesis
ko00310,Lysine degradation
ko00311,Penicillin and cephalosporin biosynthesis
ko00330,Arginine and proline metabolism
ko00332,Carbapenem biosynthesis
ko00340,Histidine metabolism
ko00350,Tyrosine metabolism
ko00360,Phenylalanine metabolism
ko00361,Chlorocyclohexane and chlorobenzene degradation
ko00362,Benzoate degradation
ko00363,Bisphenol degradation
ko00364,Fluorobenzoate degradation
ko00365,Furfural degradation
ko00380,Tryptophan metabolism
ko00400,"Phenylalanine, tyrosine and tryptophan biosynthesis"
ko00401,Novobiocin biosynthesis
ko00404,Staurosporine biosynthesis
ko00405,Phenazine biosynthesis
ko00410,beta-Alanine metabolism
ko00430,Taurine and hypotaurine metabolism
ko00440,Phosphonate and phosphinate metabolism
ko00450,Selenocompound metabolism
ko00460,Cyanoamino acid metabolism
ko00471,D-Glutamine and D-glutamate metabolism
ko00472,D-Arginine and D-ornithine metabolism
