"","gene","moduleLabels","color"
"3","EZ55_2_43",2,"blue"
"10","EZ55_18_145",2,"blue"
"12","EZ55_14_12",2,"blue"
"36","EZ55_43_2",2,"blue"
"45","EZ55_18_11",2,"blue"
"46","EZ55_18_17",2,"blue"
"54","EZ55_21_74",2,"blue"
"80","EZ55_1_23",2,"blue"
"81","EZ55_60_31",2,"blue"
"89","EZ55_18_15",2,"blue"
"94","EZ55_60_24",2,"blue"
"108","EZ55_60_27",2,"blue"
"109","EZ55_60_30",2,"blue"
"120","EZ55_60_345",2,"blue"
"140","EZ55_13_23",2,"blue"
"151","EZ55_24_1",2,"blue"
"171","EZ55_41_53",2,"blue"
"189","EZ55_30_64",2,"blue"
"266","EZ55_65_39",2,"blue"
"303","EZ55_13_92",2,"blue"
"359","EZ55_60_29",2,"blue"
"397","EZ55_13_88",2,"blue"
"489","EZ55_13_97",2,"blue"
"524","EZ55_3_5",2,"blue"
"525","EZ55_20_43",2,"blue"
"540","EZ55_13_98",2,"blue"
"578","NATL1A_145",2,"blue"
"599","EZ55_18_232",2,"blue"
"812","EZ55_13_96",2,"blue"
"1042","EZ55_35_37",2,"blue"
"1143","EZ55_78_2",2,"blue"
"1715","NATL1A_1243",2,"blue"
"1834","NATL1A_1227",2,"blue"
"1872","EZ55_13_95",2,"blue"
"1996","NATL1A_651",2,"blue"
"2102","NATL1A_1472",2,"blue"
"2134","EZ55_13_94",2,"blue"
"2167","NATL1A_1148",2,"blue"
"2228","NATL1A_1480",2,"blue"
"2289","NATL1A_912",2,"blue"
"2295","NATL1A_478",2,"blue"
"2328","NATL1A_1360",2,"blue"
"2355","NATL1A_981",2,"blue"
"2400","NATL1A_1547",2,"blue"
"2418","NATL1A_335",2,"blue"
"2434","EZ55_13_91",2,"blue"
"2537","NATL1A_822",2,"blue"
"2640","NATL1A_462",2,"blue"
"2642","NATL1A_922",2,"blue"
"2650","NATL1A_1386",2,"blue"
"2681","NATL1A_1245",2,"blue"
"2683","NATL1A_611",2,"blue"
"2703","NATL1A_874",2,"blue"
"2733","NATL1A_655",2,"blue"
"2763","NATL1A_1211",2,"blue"
"2806","NATL1A_1474",2,"blue"
"2807","NATL1A_1300",2,"blue"
"2822","NATL1A_64",2,"blue"
"2823","NATL1A_1544",2,"blue"
"2843","NATL1A_1269",2,"blue"
"2846","NATL1A_85",2,"blue"
"2851","NATL1A_1244",2,"blue"
"2868","NATL1A_737",2,"blue"
"2874","NATL1A_876",2,"blue"
"2876","NATL1A_332",2,"blue"
"2892","NATL1A_1785",2,"blue"
"2896","NATL1A_1147",2,"blue"
"2909","NATL1A_337",2,"blue"
"2913","NATL1A_162",2,"blue"
"2914","NATL1A_962",2,"blue"
"2917","NATL1A_341",2,"blue"
"2927","NATL1A_1212",2,"blue"
"2952","NATL1A_1391",2,"blue"
"2953","NATL1A_1092",2,"blue"
"2962","NATL1A_1242",2,"blue"
"2979","NATL1A_859",2,"blue"
"2983","NATL1A_752",2,"blue"
"2992","NATL1A_1792",2,"blue"
"2997","NATL1A_858",2,"blue"
"3006","NATL1A_82",2,"blue"
"3064","NATL1A_1883",2,"blue"
"3097","EZ55_39_13",2,"blue"
"3105","NATL1A_1321",2,"blue"
"3114","NATL1A_1043",2,"blue"
"3130","NATL1A_338",2,"blue"
"3173","NATL1A_678",2,"blue"
"3191","NATL1A_1067",2,"blue"
"3206","NATL1A_758",2,"blue"
"3207","NATL1A_877",2,"blue"
"3209","NATL1A_1304",2,"blue"
"3227","NATL1A_1207",2,"blue"
"3247","NATL1A_238",2,"blue"
"3273","NATL1A_1805",2,"blue"
"3277","NATL1A_995",2,"blue"
"3280","NATL1A_84",2,"blue"
"3281","NATL1A_994",2,"blue"
"3289","NATL1A_32",2,"blue"
"3295","NATL1A_55",2,"blue"
"3300","NATL1A_989",2,"blue"
"3305","NATL1A_763",2,"blue"
"3311","NATL1A_810",2,"blue"
"3312","NATL1A_909",2,"blue"
"3314","NATL1A_604",2,"blue"
"3320","NATL1A_170",2,"blue"
"3326","NATL1A_913",2,"blue"
"3329","NATL1A_1156",2,"blue"
"3345","NATL1A_1267",2,"blue"
"3368","NATL1A_753",2,"blue"
"3370","NATL1A_1302",2,"blue"
"3373","NATL1A_1369",2,"blue"
"3405","NATL1A_58",2,"blue"
"3411","NATL1A_963",2,"blue"
"3434","NATL1A_1228",2,"blue"
"3442","NATL1A_1097",2,"blue"
"3446","NATL1A_1377",2,"blue"
"3447","NATL1A_1213",2,"blue"
"3448","NATL1A_1632",2,"blue"
"3450","NATL1A_1804",2,"blue"
"3461","NATL1A_662",2,"blue"
"3470","NATL1A_868",2,"blue"
"3471","NATL1A_240",2,"blue"
"3476","NATL1A_717",2,"blue"
"3498","NATL1A_1518",2,"blue"
"3499","NATL1A_1545",2,"blue"
"3505","NATL1A_273",2,"blue"
"3509","NATL1A_31",2,"blue"
"3510","NATL1A_1522",2,"blue"
"3512","NATL1A_1414",2,"blue"
"3513","NATL1A_1214",2,"blue"
"3519","NATL1A_849",2,"blue"
"3528","NATL1A_41",2,"blue"
"3550","NATL1A_559",2,"blue"
"3555","NATL1A_838",2,"blue"
"3562","NATL1A_1342",2,"blue"
"3567","NATL1A_1376",2,"blue"
"3570","NATL1A_1332",2,"blue"
"3573","NATL1A_601",2,"blue"
"3577","NATL1A_779",2,"blue"
"3581","NATL1A_1150",2,"blue"
"3593","NATL1A_1682",2,"blue"
"3595","NATL1A_983",2,"blue"
"3596","NATL1A_532",2,"blue"
"3600","NATL1A_722",2,"blue"
"3601","NATL1A_1246",2,"blue"
"3604","NATL1A_724",2,"blue"
"3619","NATL1A_560",2,"blue"
"3621","NATL1A_1209",2,"blue"
"3622","NATL1A_984",2,"blue"
"3626","NATL1A_1323",2,"blue"
"3636","NATL1A_1482",2,"blue"
"3639","NATL1A_1509",2,"blue"
"3645","NATL1A_1091",2,"blue"
"3646","NATL1A_990",2,"blue"
"3651","NATL1A_791",2,"blue"
"3655","NATL1A_988",2,"blue"
"3657","NATL1A_336",2,"blue"
"3659","NATL1A_1796",2,"blue"
"3660","NATL1A_1326",2,"blue"
"3664","NATL1A_1208",2,"blue"
"3668","NATL1A_750",2,"blue"
"3674","NATL1A_555",2,"blue"
"3677","NATL1A_285",2,"blue"
"3686","NATL1A_923",2,"blue"
"3688","NATL1A_790",2,"blue"
"3693","NATL1A_1857",2,"blue"
"3706","NATL1A_808",2,"blue"
"3707","NATL1A_734",2,"blue"
"3709","NATL1A_715",2,"blue"
"3715","NATL1A_286",2,"blue"
"3723","NATL1A_1375",2,"blue"
"3732","NATL1A_69",2,"blue"
"3743","NATL1A_509",2,"blue"
"3744","NATL1A_1247",2,"blue"
"3756","NATL1A_821",2,"blue"
"3765","NATL1A_1327",2,"blue"
"3769","NATL1A_119",2,"blue"
"3773","NATL1A_1865",2,"blue"
"3780","NATL1A_67",2,"blue"
"3786","NATL1A_1508",2,"blue"
"3792","NATL1A_864",2,"blue"
"3794","NATL1A_1341",2,"blue"
"3797","NATL1A_1210",2,"blue"
"3801","NATL1A_1582",2,"blue"
"3803","NATL1A_1146",2,"blue"
"3804","NATL1A_896",2,"blue"
"3810","NATL1A_1389",2,"blue"
"3811","NATL1A_634",2,"blue"
"3815","NATL1A_910",2,"blue"
"3816","NATL1A_120",2,"blue"
"3817","NATL1A_1861",2,"blue"
"3818","NATL1A_1305",2,"blue"
"3820","NATL1A_1838",2,"blue"
"3823","NATL1A_932",2,"blue"
"3828","NATL1A_998",2,"blue"
"3830","NATL1A_879",2,"blue"
"3831","NATL1A_1840",2,"blue"
"3839","NATL1A_1263",2,"blue"
"3841","NATL1A_950",2,"blue"
"3843","NATL1A_1079",2,"blue"
"3844","NATL1A_185",2,"blue"
"3861","NATL1A_1301",2,"blue"
"3866","NATL1A_252",2,"blue"
"3874","NATL1A_900",2,"blue"
"3877","NATL1A_1859",2,"blue"
"3881","NATL1A_317",2,"blue"
"3883","NATL1A_586",2,"blue"
"3885","NATL1A_1853",2,"blue"
"3887","NATL1A_571",2,"blue"
"3889","NATL1A_853",2,"blue"
"3891","NATL1A_857",2,"blue"
"3893","NATL1A_1640",2,"blue"
"3895","NATL1A_73",2,"blue"
"3897","NATL1A_217",2,"blue"
"3898","NATL1A_595",2,"blue"
"3902","NATL1A_1869",2,"blue"
"3903","NATL1A_1065",2,"blue"
"3904","NATL1A_676",2,"blue"
"3907","NATL1A_961",2,"blue"
"3908","NATL1A_533",2,"blue"
"3910","NATL1A_1331",2,"blue"
"3914","NATL1A_1366",2,"blue"
"3915","NATL1A_1127",2,"blue"
"3917","NATL1A_155",2,"blue"
"3920","NATL1A_59",2,"blue"
"3923","NATL1A_1294",2,"blue"
"3927","NATL1A_685",2,"blue"
"3929","NATL1A_1131",2,"blue"
"3931","NATL1A_696",2,"blue"
"3933","NATL1A_1241",2,"blue"
"3938","NATL1A_812",2,"blue"
"3939","NATL1A_1548",2,"blue"
"3940","NATL1A_732",2,"blue"
"3944","NATL1A_57",2,"blue"
"3947","NATL1A_1000",2,"blue"
"3949","NATL1A_933",2,"blue"
"3951","NATL1A_269",2,"blue"
"3953","NATL1A_815",2,"blue"
"3955","NATL1A_1392",2,"blue"
"3957","NATL1A_677",2,"blue"
"3960","NATL1A_1847",2,"blue"
"3961","NATL1A_1541",2,"blue"
"3962","NATL1A_794",2,"blue"
"3966","NATL1A_686",2,"blue"
"3967","NATL1A_839",2,"blue"
"3970","NATL1A_631",2,"blue"
"3972","NATL1A_1747",2,"blue"
"3973","NATL1A_800",2,"blue"
"3974","NATL1A_1432",2,"blue"
"3975","NATL1A_363",2,"blue"
"3980","NATL1A_477",2,"blue"
"3982","NATL1A_94",2,"blue"
"3983","NATL1A_1416",2,"blue"
"3985","NATL1A_934",2,"blue"
"3987","NATL1A_316",2,"blue"
"3989","NATL1A_1023",2,"blue"
"3990","NATL1A_648",2,"blue"
"3991","NATL1A_875",2,"blue"
"3993","NATL1A_725",2,"blue"
"3994","NATL1A_977",2,"blue"
"3995","NATL1A_863",2,"blue"
"3998","NATL1A_381",2,"blue"
"4001","NATL1A_1325",2,"blue"
"4002","NATL1A_819",2,"blue"
"4003","NATL1A_1492",2,"blue"
"4006","NATL1A_1668",2,"blue"
"4008","NATL1A_1346",2,"blue"
"4009","NATL1A_811",2,"blue"
"4010","NATL1A_1339",2,"blue"
"4011","NATL1A_1365",2,"blue"
"4012","NATL1A_905",2,"blue"
"4013","NATL1A_176",2,"blue"
"4014","NATL1A_1471",2,"blue"
"4016","NATL1A_218",2,"blue"
"4018","NATL1A_89",2,"blue"
"4023","NATL1A_222",2,"blue"
"4025","NATL1A_83",2,"blue"
"4028","NATL1A_749",2,"blue"
"4029","NATL1A_1525",2,"blue"
"4031","NATL1A_620",2,"blue"
"4032","NATL1A_1278",2,"blue"
"4033","NATL1A_792",2,"blue"
"4036","NATL1A_1794",2,"blue"
"4038","NATL1A_14",2,"blue"
"4039","NATL1A_128",2,"blue"
"4040","NATL1A_1524",2,"blue"
"4043","NATL1A_1681",2,"blue"
"4044","NATL1A_823",2,"blue"
"4047","NATL1A_419",2,"blue"
"4048","NATL1A_292",2,"blue"
"4049","NATL1A_1032",2,"blue"
"4050","NATL1A_1028",2,"blue"
"4053","NATL1A_760",2,"blue"
"4054","NATL1A_1086",2,"blue"
"4057","NATL1A_1090",2,"blue"
"4059","NATL1A_485",2,"blue"
"4062","NATL1A_1036",2,"blue"
"4063","NATL1A_1758",2,"blue"
