gene_id	sampleA	sampleB	baseMeanA	baseMeanB	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	up|down
S0430-3_42	P2	P5	13859.5379615677	1.00023613075583	6930.26909884924	13.6091006075012	0.758341466044423	17.94587427546	5.16906603516853e-72	6.23518590492204e-69	up
S0430-3_46	P2	P5	55823.797329017	0	27911.8986645085	18.4583251195643	1.1851686915859	15.5744285607688	1.08619395884863e-54	8.73480975240775e-52	up
S0430-3_26	P2	P5	31366.5606312215	0	15683.2803156107	17.6266802559813	1.18121280981503	14.9225271767427	2.35194180244608e-50	1.41851489960029e-47	up
NATL1A_450	P2	P5	14158.7435903565	6915.28298333068	10537.0132868436	1.03356172757026	0.0741649379859998	13.9359885632934	3.82862281327652e-44	1.67937318855084e-41	up
S0430-3_38	P2	P5	12299.792032369	0	6149.8960161845	16.2760761558832	1.18288544934731	13.7596384881258	4.45750222081942e-43	1.53624630110384e-40	up
S0430-3_53	P2	P5	11805.3453396211	0	5902.67266981055	16.2169098355588	1.18340898664295	13.7035547461595	9.66730877572521e-43	2.91529780267963e-40	up
S0430-3_41	P2	P5	9368.74712603625	0	4684.37356301813	15.8833791474302	1.18128066721195	13.4458978194556	3.25431749290095e-41	9.23651876661593e-39	up
S0430-3_9	P2	P5	9315.83067128785	0	4657.91533564392	15.8752389327899	1.18428079846876	13.4049618581303	5.65523495626571e-41	1.515917147999e-38	up
S0430-3_48	P2	P5	8852.03706874492	0	4426.01853437246	15.8015638070255	1.18262250274371	13.3614604578938	1.01551930831765e-40	2.57888455928034e-38	up
S0430-3_40	P2	P5	8714.68448325377	0	4357.34224162688	15.7789566048944	1.18308809865651	13.3370935121506	1.40844552019332e-40	3.3978748174664e-38	up
S0430-3_30	P2	P5	8192.88362687298	0	4096.44181343649	15.6899217263151	1.1814651377778	13.2800547596572	3.02173110906205e-40	6.94278695296399e-38	up
S0430-3_52	P2	P5	7293.34382518131	0	3646.67191259065	15.5221218335658	1.18148410023552	13.1378169460525	1.99911244296674e-39	4.3844170624157e-37	up
S0430-3_10	P2	P5	7083.83134900441	0	3541.9156745022	15.4800184051545	1.19083165276203	12.999334011025	1.23413339624683e-38	2.58899723343085e-36	up
S0430-3_44	P2	P5	7189.26640055453	0	3594.63320027726	15.5013372349727	1.20738505841367	12.8387684831376	9.9443781319463e-38	1.91926497946564e-35	up
S0430-3_35	P2	P5	5664.76791459624	0	2832.38395729812	15.1575620323259	1.18263049729928	12.8168198494293	1.32004479689567e-37	2.449698517316e-35	up
S0430-3_27	P2	P5	5550.69246650477	0	2775.34623325239	15.1281927876627	1.18249941981446	12.7934039832649	1.78481620112013e-37	3.18953265570542e-35	up
S0430-3_39	P2	P5	5063.04764021168	0	2531.52382010584	14.9955462647273	1.18539731981042	12.6502279144055	1.11550750580024e-36	1.85597369499523e-34	up
S0430-3_36	P2	P5	4664.22797815286	0	2332.11398907643	14.8771736979986	1.18430690753635	12.5619242810521	3.41914715907585e-36	5.49912834751367e-34	up
S0430-3_43	P2	P5	5128.8136467677	0	2564.40682338385	15.0141069226968	1.20042755362722	12.5072994845296	6.81002581818859e-36	1.05994756686322e-33	up
S0430-3_51	P2	P5	4339.34773423834	0	2169.67386711917	14.7729858530951	1.1859282001385	12.456897349578	1.28264318981862e-35	1.87537981541662e-33	up
S0430-3_32	P2	P5	4130.83965197416	0	2065.41982598708	14.7019835891609	1.18423417281449	12.4147604643258	2.17336339292495e-35	2.99613667738939e-33	up
S0430-3_33	P2	P5	4254.53351844685	0	2127.26675922342	14.744531831288	1.18824837257007	12.4086278354389	2.34639502218315e-35	3.14482110612047e-33	up
S0430-3_18	P2	P5	4065.20177844293	0	2032.60088922146	14.6788606356935	1.18424264316865	12.3951461470916	2.77639094578728e-35	3.52528587195358e-33	up
S0430-3_3	P2	P5	2807.02374896846	0	1403.51187448423	14.1445650411639	1.18848227766787	11.901368078386	1.16422734922333e-32	1.12347939200052e-30	up
S0430-3_17	P2	P5	2699.22238163879	0	1349.61119081939	14.0880404979624	1.19067951550579	11.831933206626	2.66922452658855e-32	2.52529575309603e-30	up
S0430-3_29	P2	P5	2521.55119366844	0	1260.77559683422	13.9898662854234	1.19192757821561	11.7371781147702	8.21830075042067e-32	7.34320391125551e-30	up
S0430-3_16	P2	P5	2493.21205987278	0	1246.60602993639	13.973509095608	1.19185529574253	11.7241657989215	9.58405102438778e-32	8.40782658048564e-30	up
S0430-3_8	P2	P5	2282.46293058706	0	1141.23146529353	13.8461690892661	1.20342929792342	11.5055941492852	1.23634968489583e-30	9.35549883750945e-29	up
S0430-3_34	P2	P5	2141.62922128821	0	1070.8146106441	13.7542645436906	1.1957119215398	11.5029918962239	1.27420597506039e-30	9.45852896871752e-29	up
S0430-3_6	P2	P5	1998.17717566925	0	999.088587834627	13.6541988682474	1.19682261199544	11.4087072983038	3.78309627420431e-30	2.76567265500542e-28	up
S0430-3_56	P2	P5	1912.84967318123	0	956.424836590614	13.5912361055024	1.19774170789938	11.3473848458855	7.64140754112075e-30	5.34344802694313e-28	up
S0430-3_47	P2	P5	1916.19883523175	0	958.099417615877	13.5937948532662	1.19850232617074	11.3423182887754	8.09706028767171e-30	5.58118798400229e-28	up
S0430-3_14	P2	P5	1874.81212799423	0	937.406063997117	13.5622658900226	1.19935840398467	11.3079341796115	1.19878776205745e-29	8.14669148158757e-28	up
S0430-3_28	P2	P5	1766.01423984604	0	883.007119923019	13.4760056307703	1.20118073539209	11.2189658339563	3.2909634719142e-29	2.1171865002648e-27	up
S0430-3_19	P2	P5	1694.81624902431	0	847.408124512157	13.4166481055758	1.20080198118224	11.1730729261177	5.52362508833479e-29	3.41685782707889e-27	up
S0430-3_7	P2	P5	1536.08000059765	0	768.040000298823	13.2747934271989	1.20556043634227	11.011304806481	3.37086044853007e-28	1.86947145565029e-26	up
S0430-3_37	P2	P5	1527.27488214389	0	763.637441071945	13.2664646123694	1.20601142290654	11.0002810590273	3.80942727580681e-28	2.08869165974635e-26	up
S0430-3_24	P2	P5	1578.47083861458	0	789.235419307288	13.3140391338934	1.21059926979211	10.9978912643651	3.91172414338243e-28	2.12068190919328e-26	up
NATL1A_244	P2	P5	72688.8637239391	21295.5428262337	46992.2032750864	1.77112222243488	0.164636533381241	10.7577715957708	5.44714273931403e-27	2.6547943148677e-25	up
S0430-3_23	P2	P5	1217.68324490678	0	608.84162245339	12.9396726127125	1.22167441386946	10.5917521606498	3.25442347156712e-26	1.36544289133142e-24	up
S0430-3_2	P2	P5	1174.08021502651	0	587.040107513255	12.887023011783	1.22395556728532	10.5289957872947	6.35083605701854e-26	2.55356533125954e-24	up
S0430-3_20	P2	P5	1084.75386391487	0	542.376931957437	12.7729239550324	1.2275638139986	10.4050997670147	2.35009792658674e-25	8.54621945012577e-24	up
NATL1A_1171	P2	P5	8117.44711839878	3577.54948481149	5847.49830160513	1.18173884185385	0.114183316774287	10.3494877819135	4.20730678251038e-25	1.49266582541269e-23	up
S0430-3_45	P2	P5	1157.73920872307	0	578.869604361537	12.8667856796957	1.24762966173357	10.3129847536788	6.15591926857322e-25	2.16805185918728e-23	up
S0430-3_1	P2	P5	988.872959357961	0	494.43647967898	12.6393899924602	1.22844355367348	10.2889464922209	7.90363638793694e-25	2.72393182655684e-23	up
S0430-3_5	P2	P5	805.447621132941	0	402.72381056647	12.3433612893598	1.25410831694885	9.84234066750331	7.39695289302608e-23	2.11185193543496e-21	up
S0430-3_31	P2	P5	619.781575416539	0	309.890787708269	11.9653576579428	1.26762171406386	9.43921796636249	3.75571927368807e-21	8.31254380529583e-20	up
S0430-3_50	P2	P5	615.821117955561	0	307.910558977781	11.9560982629988	1.26990326418526	9.41496773824704	4.73227703282087e-21	1.03787439469821e-19	up
S0430-3_21	P2	P5	634.5306647699	0	317.26533238495	11.9993327052684	1.27758411366102	9.39220563011178	5.87567318618266e-21	1.27130596965611e-19	up
S0430-3_11	P2	P5	522.533808491545	0	261.266904245773	11.7190835556133	1.29360140089534	9.05926937579246	1.313272440107e-19	2.32107674854075e-18	up
S0430-3_13	P2	P5	488.14254690074	0	244.07127345037	11.6209236962258	1.29871730779501	8.94800094406696	3.61977948880693e-19	6.06438751162966e-18	up
S0430-3_12	P2	P5	476.183835946962	0	238.091917973481	11.5850891960392	1.29985695695254	8.91258775365558	4.98550702714756e-19	8.20992198156552e-18	up
S0430-3_4	P2	P5	468.818199752063	0	234.409099876031	11.562663041177	1.3037216916526	8.86896575796037	7.38283734505281e-19	1.1795427215192e-17	up
NATL1A_1223	P2	P5	40721.7421777373	8847.11426334349	24784.4282205404	2.20249364422516	0.254806320926177	8.643795162614	5.43760012727954e-18	7.43241377170646e-17	up
NATL1A_302	P2	P5	45836.0252404282	20063.7403212134	32949.8827808208	1.19192474652798	0.141716586613316	8.41062274368936	4.07839517241083e-17	4.91956417672057e-16	up
NATL1A_111	P2	P5	52693.3183814951	25938.2924702389	39315.805425867	1.02250202150029	0.124180010364694	8.234030730851	1.81017222880664e-16	1.96713536125947e-15	up
S0430-3_15	P2	P5	328.955069669883	0	164.477534834942	11.0514508237961	1.34444669003514	8.22007365982451	2.03378227663905e-16	2.17955477272694e-15	up
S0430-3_54	P2	P5	319.326376933081	0	159.663188466541	11.0085623686665	1.36848912685889	8.04431847692831	8.6726708503511e-16	8.25357728854912e-15	up
S0430-3_55	P2	P5	275.344529592131	0	137.672264796066	10.7948845068579	1.35639435879739	7.95851474672081	1.74116648380493e-15	1.59112278112856e-14	up
NATL1A_1116	P2	P5	3172.05856163555	1311.1427535981	2241.60065761682	1.27399623603058	0.170114580145115	7.48904788139739	6.93750304156163e-14	4.67506315300766e-13	up
S0430-3_49	P2	P5	174.860726307672	0	87.4303631538362	10.1398592483444	1.37073091708339	7.39741047784917	1.38865789183014e-13	8.9695774137623e-13	up
NATL1A_873	P2	P5	6543.00477184577	3042.43064035506	4792.71770610042	1.10464085542432	0.152350978442545	7.2506318417962	4.14831853011905e-13	2.48641452271111e-12	up
NATL1A_1579	P2	P5	113910.853952267	36232.8077411101	75071.8308466886	1.65250910553124	0.237365304716157	6.9618814236871	3.35758065962447e-12	1.71218203356532e-11	up
NATL1A_1229	P2	P5	37398.5161952164	18230.5045726765	27814.5103839465	1.0366352871556	0.149033941436037	6.95569933376888	3.50817351959377e-12	1.77431207883018e-11	up
S0430-3_25	P2	P5	100.258395642368	0	50.1291978211842	9.33742252010042	1.35979044790518	6.86680990772157	6.56534596798724e-12	3.11789313932465e-11	up
NATL1A_1073	P2	P5	16249.8327505338	6646.76903481977	11448.3008926768	1.28970146264546	0.203251730003879	6.34534064049957	2.21933824917631e-10	7.63787949520378e-10	up
NATL1A_1649	P2	P5	6738.19779172918	3161.40858885988	4949.80319029453	1.09140281533779	0.181080389247891	6.02717290299011	1.66852477284297e-09	4.83812020971594e-09	up
NATL1A_43	P2	P5	13545.1524713167	6532.770685562	10038.9615784393	1.05188419853657	0.180297240677658	5.83416692669834	5.40599799084746e-09	1.41818715673665e-08	up
NATL1A_906	P2	P5	1513.57201594895	510.412121556312	1011.99206875263	1.56720392724775	0.274851285067175	5.70200691208236	1.18405025790425e-08	2.90296874714838e-08	up
