nodeName	altName	nodeAttr[nodesPresent, ]
NATL1A_82	NA	blue
NATL1A_1208	NA	blue
NATL1A_864	NA	blue
NATL1A_857	NA	blue
NATL1A_676	NA	blue
NATL1A_1241	NA	blue
NATL1A_316	NA	blue
NATL1A_1023	NA	blue
NATL1A_875	NA	blue
NATL1A_905	NA	blue
NATL1A_218	NA	blue
NATL1A_222	NA	blue
NATL1A_1278	NA	blue
NATL1A_1794	NA	blue
NATL1A_485	NA	blue
NATL1A_862	NA	blue
NATL1A_1750	NA	blue
NATL1A_1262	NA	blue
NATL1A_609	NA	blue
NATL1A_1303	NA	blue
NATL1A_892	NA	blue
NATL1A_856	NA	blue
NATL1A_1595	NA	blue
NATL1A_781	NA	blue
NATL1A_1863	NA	blue
NATL1A_1397	NA	blue
NATL1A_855	NA	blue
NATL1A_866	NA	blue
NATL1A_1448	NA	blue
NATL1A_1800	NA	blue
NATL1A_1457	NA	blue
NATL1A_780	NA	blue
NATL1A_1592	NA	blue
NATL1A_842	NA	blue
NATL1A_1860	NA	blue
NATL1A_691	NA	blue
NATL1A_1130	NA	blue
NATL1A_1830	NA	blue
NATL1A_1489	NA	blue
NATL1A_1569	NA	blue
NATL1A_693	NA	blue
NATL1A_398	NA	blue
NATL1A_1557	NA	blue
NATL1A_585	NA	blue
NATL1A_870	NA	blue
NATL1A_778	NA	blue
NATL1A_479	NA	blue
NATL1A_557	NA	blue
NATL1A_1254	NA	blue
NATL1A_1249	NA	blue
NATL1A_51	NA	blue
NATL1A_1625	NA	blue
NATL1A_234	NA	blue
NATL1A_809	NA	blue
NATL1A_728	NA	blue
NATL1A_39	NA	blue
NATL1A_1425	NA	blue
NATL1A_1159	NA	blue
NATL1A_992	NA	blue
NATL1A_1523	NA	blue
NATL1A_463	NA	blue
NATL1A_1597	NA	blue
NATL1A_467	NA	blue
NATL1A_5	NA	blue
NATL1A_695	NA	blue
NATL1A_1271	NA	blue
NATL1A_920	NA	blue
NATL1A_952	NA	blue
NATL1A_1715	NA	blue
NATL1A_1870	NA	blue
NATL1A_233	NA	blue
NATL1A_163	NA	blue
NATL1A_845	NA	blue
NATL1A_894	NA	blue
NATL1A_1809	NA	blue
NATL1A_1546	NA	blue
NATL1A_376	NA	blue
NATL1A_1769	NA	blue
NATL1A_472	NA	blue
NATL1A_421	NA	blue
NATL1A_420	NA	blue
NATL1A_1029	NA	blue
NATL1A_1046	NA	blue
NATL1A_118	NA	blue
NATL1A_1040	NA	blue
NATL1A_769	NA	blue
NATL1A_1786	NA	blue
NATL1A_759	NA	blue
NATL1A_844	NA	blue
NATL1A_3	NA	blue
NATL1A_1793	NA	blue
NATL1A_846	NA	blue
NATL1A_1639	NA	blue
NATL1A_405	NA	blue
NATL1A_1483	NA	blue
NATL1A_396	NA	blue
NATL1A_556	NA	blue
NATL1A_1470	NA	blue
NATL1A_640	NA	blue
NATL1A_187	NA	blue
NATL1A_235	NA	blue
NATL1A_1719	NA	blue
NATL1A_1458	NA	blue
NATL1A_1848	NA	blue
NATL1A_350	NA	blue
NATL1A_412	NA	blue
NATL1A_386	NA	blue
NATL1A_17	NA	blue
NATL1A_127	NA	blue
NATL1A_4	NA	blue
NATL1A_403	NA	blue
NATL1A_625	NA	blue
NATL1A_1049	NA	blue
NATL1A_1814	NA	blue
NATL1A_340	NA	blue
NATL1A_1581	NA	blue
NATL1A_1642	NA	blue
NATL1A_214	NA	blue
NATL1A_438	NA	blue
NATL1A_172	NA	blue
NATL1A_1835	NA	blue
NATL1A_63	NA	blue
NATL1A_1811	NA	blue
NATL1A_1500	NA	blue
NATL1A_1822	NA	blue
NATL1A_333	NA	blue
NATL1A_1568	NA	blue
NATL1A_184	NA	blue
NATL1A_106	NA	blue
NATL1A_8	NA	blue
NATL1A_1810	NA	blue
NATL1A_1825	NA	blue
NATL1A_1006	NA	blue
NATL1A_1455	NA	blue
NATL1A_100	NA	blue
NATL1A_1670	NA	blue
NATL1A_1590	NA	blue
NATL1A_1858	NA	blue
NATL1A_1495	NA	blue
NATL1A_687	NA	blue
NATL1A_1459	NA	blue
NATL1A_1540	NA	blue
NATL1A_482	NA	blue
NATL1A_1465	NA	blue
NATL1A_1473	NA	blue
NATL1A_798	NA	blue
NATL1A_735	NA	blue
NATL1A_274	NA	blue
NATL1A_1779	NA	blue
NATL1A_593	NA	blue
NATL1A_397	NA	blue
NATL1A_1436	NA	blue
NATL1A_635	NA	blue
NATL1A_254	NA	blue
NATL1A_1233	NA	blue
NATL1A_1726	NA	blue
NATL1A_1345	NA	blue
NATL1A_1743	NA	blue
NATL1A_1799	NA	blue
NATL1A_1424	NA	blue
NATL1A_1456	NA	blue
NATL1A_1846	NA	blue
NATL1A_1657	NA	blue
NATL1A_1149	NA	blue
NATL1A_227	NA	blue
NATL1A_1780	NA	blue
NATL1A_564	NA	blue
NATL1A_1740	NA	blue
NATL1A_1234	NA	blue
NATL1A_999	NA	blue
NATL1A_1405	NA	blue
NATL1A_110	NA	blue
NATL1A_818	NA	blue
NATL1A_6	NA	blue
NATL1A_1549	NA	blue
NATL1A_636	NA	blue
NATL1A_80	NA	blue
NATL1A_565	NA	blue
NATL1A_1836	NA	blue
NATL1A_714	NA	blue
NATL1A_1460	NA	blue
NATL1A_1718	NA	blue
NATL1A_1484	NA	blue
NATL1A_1660	NA	blue
NATL1A_1742	NA	blue
NATL1A_1205	NA	blue
NATL1A_181	NA	blue
NATL1A_1633	NA	blue
NATL1A_1461	NA	blue
NATL1A_1306	NA	blue
NATL1A_682	NA	blue
NATL1A_266	NA	blue
NATL1A_834	NA	blue
NATL1A_1806	NA	blue
NATL1A_1801	NA	blue
NATL1A_351	NA	blue
NATL1A_1746	NA	blue
NATL1A_375	NA	blue
NATL1A_1398	NA	blue
NATL1A_702	NA	blue
NATL1A_852	NA	blue
NATL1A_574	NA	blue
NATL1A_152	NA	blue
NATL1A_27	NA	blue
NATL1A_948	NA	blue
NATL1A_56	NA	blue
NATL1A_720	NA	blue
NATL1A_491	NA	blue
NATL1A_1264	NA	blue
NATL1A_1748	NA	blue
NATL1A_230	NA	blue
NATL1A_9	NA	blue
NATL1A_795	NA	blue
NATL1A_307	NA	blue
NATL1A_537	NA	blue
NATL1A_616	NA	blue
NATL1A_1273	NA	blue
NATL1A_1736	NA	blue
NATL1A_538	NA	blue
NATL1A_829	NA	blue
NATL1A_1878	NA	blue
NATL1A_377	NA	blue
NATL1A_206	NA	blue
NATL1A_300	NA	blue
NATL1A_161	NA	blue
NATL1A_925	NA	blue
NATL1A_575	NA	blue
NATL1A_508	NA	blue
NATL1A_229	NA	blue
NATL1A_251	NA	blue
NATL1A_797	NA	blue
NATL1A_488	NA	blue
NATL1A_1215	NA	blue
NATL1A_260	NA	blue
NATL1A_917	NA	blue
NATL1A_1494	NA	blue
NATL1A_232	NA	blue
NATL1A_770	NA	blue
NATL1A_88	NA	blue
NATL1A_1499	NA	blue
NATL1A_898	NA	blue
NATL1A_1282	NA	blue
NATL1A_921	NA	blue
NATL1A_158	NA	blue
NATL1A_322	NA	blue
NATL1A_1114	NA	blue
NATL1A_1675	NA	blue
NATL1A_454	NA	blue
NATL1A_561	NA	blue
NATL1A_1034	NA	blue
NATL1A_1435	NA	blue
NATL1A_1224	NA	blue
NATL1A_814	NA	blue
NATL1A_150	NA	blue
NATL1A_773	NA	blue
NATL1A_1009	NA	blue
NATL1A_796	NA	blue
NATL1A_25	NA	blue
NATL1A_437	NA	blue
NATL1A_149	NA	blue
NATL1A_434	NA	blue
NATL1A_745	NA	blue
NATL1A_628	NA	blue
NATL1A_1487	NA	blue
NATL1A_723	NA	blue
NATL1A_801	NA	blue
NATL1A_436	NA	blue
NATL1A_1667	NA	blue
NATL1A_626	NA	blue
NATL1A_24	NA	blue
NATL1A_534	NA	blue
NATL1A_1512	NA	blue
NATL1A_1761	NA	blue
NATL1A_1515	NA	blue
NATL1A_899	NA	blue
NATL1A_1778	NA	blue
NATL1A_503	NA	blue
NATL1A_374	NA	blue
NATL1A_318	NA	blue
NATL1A_1486	NA	blue
NATL1A_487	NA	blue
NATL1A_449	NA	blue
NATL1A_1108	NA	blue
NATL1A_1496	NA	blue
NATL1A_708	NA	blue
NATL1A_1276	NA	blue
NATL1A_704	NA	blue
NATL1A_1842	NA	blue
NATL1A_197	NA	blue
NATL1A_1183	NA	blue
NATL1A_133	NA	blue
