nodeName	altName	nodeAttr[nodesPresent, ]
S0430-3_22	NA	brown
S0430-3_25	NA	brown
S0430-3_49	NA	brown
S0430-3_50	NA	brown
S0430-3_31	NA	brown
S0430-3_54	NA	brown
S0430-3_55	NA	brown
S0430-3_51	NA	brown
S0430-3_15	NA	brown
NATL1A_884	NA	brown
S0430-3_52	NA	brown
S0430-3_53	NA	brown
S0430-3_1	NA	brown
S0430-3_4	NA	brown
S0430-3_47	NA	brown
S0430-3_48	NA	brown
S0430-3_5	NA	brown
NATL1A_1154	NA	brown
S0430-3_8	NA	brown
S0430-3_11	NA	brown
S0430-3_21	NA	brown
S0430-3_32	NA	brown
NATL1A_70	NA	brown
S0430-3_12	NA	brown
S0430-3_2	NA	brown
S0430-3_35	NA	brown
S0430-3_23	NA	brown
S0430-3_20	NA	brown
NATL1A_1153	NA	brown
NATL1A_944	NA	brown
S0430-3_10	NA	brown
S0430-3_13	NA	brown
S0430-3_9	NA	brown
S0430-3_34	NA	brown
S0430-3_30	NA	brown
S0430-3_36	NA	brown
S0430-3_39	NA	brown
S0430-3_19	NA	brown
S0430-3_33	NA	brown
S0430-3_24	NA	brown
S0430-3_3	NA	brown
S0430-3_45	NA	brown
S0430-3_29	NA	brown
S0430-3_56	NA	brown
S0430-3_6	NA	brown
S0430-3_38	NA	brown
S0430-3_18	NA	brown
S0430-3_41	NA	brown
S0430-3_28	NA	brown
S0430-3_37	NA	brown
S0430-3_7	NA	brown
S0430-3_14	NA	brown
S0430-3_27	NA	brown
S0430-3_16	NA	brown
NATL1A_956	NA	brown
NATL1A_1103	NA	brown
S0430-3_26	NA	brown
S0430-3_43	NA	brown
S0430-3_17	NA	brown
S0430-3_46	NA	brown
S0430-3_42	NA	brown
NATL1A_1121	NA	brown
S0430-3_40	NA	brown
S0430-3_44	NA	brown
NATL1A_1110	NA	brown
NATL1A_1180	NA	brown
NATL1A_1173	NA	brown
NATL1A_1172	NA	brown
NATL1A_958	NA	brown
NATL1A_1139	NA	brown
NATL1A_959	NA	brown
