nodeName	altName	nodeAttr[nodesPresent, ]
R8W_47	NA	yellow
R8W_52	NA	yellow
R8W_41	NA	yellow
R8W_46	NA	yellow
R8W_19	NA	yellow
R8W_13	NA	yellow
R8W_43	NA	yellow
R8W_4	NA	yellow
R8W_40	NA	yellow
R8W_17	NA	yellow
R8W_35	NA	yellow
R8W_21	NA	yellow
R8W_14	NA	yellow
R8W_28	NA	yellow
R8W_33	NA	yellow
R8W_53	NA	yellow
R8W_31	NA	yellow
R8W_51	NA	yellow
R8W_42	NA	yellow
R8W_49	NA	yellow
R8W_48	NA	yellow
R8W_23	NA	yellow
R8W_1	NA	yellow
R8W_29	NA	yellow
R8W_6	NA	yellow
R8W_7	NA	yellow
R8W_45	NA	yellow
R8W_18	NA	yellow
R8W_44	NA	yellow
R8W_15	NA	yellow
R8W_25	NA	yellow
R8W_50	NA	yellow
R8W_5	NA	yellow
R8W_38	NA	yellow
R8W_32	NA	yellow
R8W_27	NA	yellow
R8W_37	NA	yellow
R8W_39	NA	yellow
R8W_11	NA	yellow
R8W_36	NA	yellow
R8W_24	NA	yellow
R8W_34	NA	yellow
R8W_12	NA	yellow
R8W_22	NA	yellow
