,P11,P12,P13,P21,P22,P23,P71,P72,P73,P31,P32,P33,P41,P42,P43,P51,P52,P53,P61,P62,P63
R8W_3,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0.655,0.145,0,0,0,0,0,0
R8W_47,0,0,0,0,0,0,0,0,0,0,0,0,0.277,0.101,0.334,0,0,0,0,0.126,0.125
EZ55_2_43,0,0,0,0,0,0,0,0,0,0.397,0.316,0.105,0,0,0,0.21,0,0,0,0,0
R8W_52,0,0,0,0,0,0,0,0,0,0,0,0,0.066,0.289,0,0,0,0,0.158,0.362,0.179
R8W_41,0,0,0,0,0,0,0,0,0,0,0,0,0.051,0.11,0.914,0,0,0,0,0,0
R8W_46,0,0,0,0,0,0,0,0,0,0,0,0,0,0.284,0.158,0,0,0,0.625,0.178,0
R8W_19,0,0,0,0,0,0,0,0,0,0,0,0,0.286,0,0.296,0,0,0,0.293,0.334,0.055
R8W_13,0,0,0,0,0,0,0,0,0,0,0,0,0.321,0,0.774,0,0,0,0.192,0,0
R8W_43,0,0,0,0,0,0,0,0,0,0,0,0,0.341,0.062,0.548,0,0,0,0.204,0.077,0.077
EZ55_18_145,0,0,0,0,0,0,0,0,0,0.051,1.103,0.324,0,0,0,0,0,0,0,0,0
EZ55_43_250,0,0,0,0,0,0,0,0,0,0.05,0.189,0.421,0,0,0,0.841,0,0,0,0,0
EZ55_14_12,0,0,0,0,0,0,0,0,0,0.51,0,0.757,0,0,0,0,0,0.3,0,0,0
R8W_4,0,0,0,0,0,0,0,0,0,0,0,0,0.416,0.113,0.502,0,0,0,0.248,0,0.422
R8W_40,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.203,0.548,0,0,0,0.418,0.159,0.095
EZ55_66_3,0,0,0,0,0,0,0,0,0,0.042,0.805,0.358,0,0,0,0,0,0.372,0.251,0,0
R8W_17,0,0,0,0,0,0,0,0,0,0,0,0,0.264,0.287,0.663,0,0,0,0.289,0.3,0.03
R8W_35,0,0,0,0,0,0,0,0,0,0,0,0,0.441,0,1.196,0,0,0,0.132,0,0.149
R8W_21,0,0,0,0,0,0,0,0,0,0,0,0,0.299,0.089,0.786,0,0,0,0.519,0.111,0.22
R8W_14,0,0,0,0,0,0,0,0,0,0,0,0,0.282,0.115,0.891,0,0,0,0.378,0.336,0.048
R8W_28,0,0,0,0,0,0,0,0,0,0,0,0,0.302,0.359,0.696,0,0,0,0.558,0.15,0.074
EZ55_18_16,0,0,0,0,0,0,0,0,0.373,0.135,1.065,0.229,0,0,0,0,0,0.397,0,0,0
EZ55_39_168,0,0,0,0,0,0,0,0,0,0.078,0.798,0.532,0,0,0,0.2,0.157,0.461,0,0,0
R8W_33,0,0,0,0,0,0,0,0,0,0,0,0,0.413,0.2,0.845,0,0,0,0.521,0.125,0.217
R8W_53,0,0,0,0,0,0,0,0,0,0,0,0,0.523,0,0.105,0,0,0,1.249,0.238,0.236
R8W_31,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,1.323,0,0,0,0.225,0.214,0.466
R8W_51,0,0,0,0,0,0,0,0,0,0,0,0,0.334,0.305,0.918,0,0,0,0.415,0.164,0.235
R8W_42,0,0,0,0,0,0,0,0,0,0,0,0,0.481,0.196,0.986,0,0,0,0.417,0.131,0.179
R8W_49,0,0,0,0,0,0,0,0,0,0,0,0,0,0.456,0.674,0,0,0,0.334,0.381,0.567
R8W_48,0,0,0,0,0,0,0,0,0,0,0,0,0.119,0.194,0.931,0,0,0,0.284,0.486,0.402
EZ55_66_2,0,0,0,0,0,0,0,0,0,0.308,1.413,0.262,0,0,0,0.131,0.077,0.227,0,0,0
EZ55_18_13,0,0,0,0,0,0,0,0,0,0.182,1.064,0.54,0,0,0,0.077,0,0.481,0.108,0,0
R8W_23,0,0,0,0,0,0,0,0,0,0,0,0,0.256,0.278,1.003,0,0,0,0.153,0.523,0.26
EZ55_21_76,0,0,0,0,0,0,0,0,0,0.086,1.405,0.213,0,0,0,0.061,0,0.548,0.171,0,0
