gene_id,affinity,color
EZ55_65_13,0.047457627,turquoise
EZ55_15_21,0.039322034,turquoise
EZ55_12_17,0.03220339,turquoise
EZ55_2_144,0.030847458,turquoise
EZ55_19_27,0.028474576,turquoise
EZ55_37_33,0.028135593,turquoise
EZ55_43_57,0.027457627,turquoise
EZ55_29_32,0.024237288,turquoise
EZ55_39_113,0.024067797,turquoise
EZ55_32_36,0.022711864,turquoise
EZ55_60_85,0.022372881,turquoise
EZ55_4_126,0.022372881,turquoise
EZ55_1_1,0.021864407,turquoise
EZ55_20_30,0.021525424,turquoise
EZ55_60_352,0.020847458,turquoise
EZ55_4_50,0.020677966,turquoise
EZ55_23_8,0.019491525,turquoise
EZ55_60_65,0.019152542,turquoise
EZ55_31_40,0.019152542,turquoise
NATL1A_1038,0.144906034,blue
NATL1A_1111,0.087289812,blue
NATL1A_60,0.085806133,blue
NATL1A_1042,0.078387735,blue
NATL1A_1185,0.075420376,blue
NATL1A_1105,0.072947577,blue
NATL1A_1217,0.068001978,blue
NATL1A_1629,0.068001978,blue
NATL1A_1012,0.0640455,blue
NATL1A_1159,0.056627102,blue
NATL1A_1108,0.033135509,blue
NATL1A_1126,0.03066271,blue
NATL1A_925,0.020524233,blue
NATL1A_926,0.018298714,blue
NATL1A_1139,0.034972124,brown
NATL1A_959,0.033451597,brown
NATL1A_1173,0.032437912,brown
S0430-3_7,0.031931069,brown
S0430-3_43,0.031931069,brown
S0430-3_36,0.031931069,brown
S0430-3_41,0.031931069,brown
NATL1A_1103,0.031931069,brown
S0430-3_46,0.031931069,brown
S0430-3_40,0.031931069,brown
S0430-3_44,0.031931069,brown
S0430-3_42,0.031931069,brown
R8W_5,0.059490085,yellow
R8W_36,0.059490085,yellow
R8W_45,0.059490085,yellow
R8W_25,0.059490085,yellow
R8W_24,0.056657224,yellow
R8W_33,0.055240793,yellow
R8W_40,0.055240793,yellow
R8W_21,0.055240793,yellow
R8W_38,0.055240793,yellow
R8W_51,0.055240793,yellow
R8W_1,0.053824363,yellow
R8W_28,0.053824363,yellow
R8W_48,0.053824363,yellow
R8W_6,0.053824363,yellow
R8W_11,0.053824363,yellow
