"","kTotal","kWithin","kOut","kDiff"
"R8W_3",1.19905565065297,0,1.19905565065297,-1.19905565065297
"R8W_47",13.4927593468701,10.3796872089361,3.113072137934,7.26661507100207
"EZ55_2_43",1166.63313456783,606.371119131125,560.262015436706,46.1091036944194
"R8W_52",3.85731385487028,1.96856845829084,1.88874539657944,0.0798230617113922
"R8W_41",6.89360765659795,6.40168818354725,0.491919473050703,5.90976871049655
"R8W_46",3.94157573125169,3.04630721797335,0.895268513278341,2.15103870469501
"R8W_19",13.6772313426161,10.8476015023972,2.82962984021893,8.01797166217824
"R8W_13",13.5797644473676,12.729055089881,0.85070935748667,11.8783457323943
"R8W_43",20.8839887944661,18.5161723893433,2.36781640512285,16.1483559842205
"EZ55_18_145",468.783777817378,258.271788021733,210.511989795645,47.7597982260886
"EZ55_43_250",63.7776406817298,60.3194707130754,3.4581699686544,56.861300744421
"EZ55_14_12",631.859383624919,275.933359706673,355.926023918247,-79.992664211574
"R8W_4",14.3604193963287,11.7517965715889,2.60862282473981,9.14317374684908
"R8W_40",25.0401903753789,20.8162755159316,4.22391485944727,16.5923606564843
"EZ55_66_3",738.073260028374,568.480405852833,169.592854175541,398.887551677292
"R8W_17",21.1178597773085,17.0707666899879,4.04709308732062,13.0236736026672
"R8W_35",13.4131722249923,12.4894694393998,0.923702785592457,11.5657666538074
"R8W_21",23.2359611773203,20.3600422327284,2.87591894459192,17.4841232881365
"R8W_14",21.395967291973,18.685305138583,2.71066215338998,15.974642985193
"R8W_28",21.0927266184821,17.4234567999033,3.66926981857874,13.7541869813246
"EZ55_18_16",498.212005465884,323.751292214186,174.460713251698,149.290578962488
"EZ55_39_168",1520.44523898891,1264.28366636222,256.161572626695,1008.12209373552
"R8W_33",25.4812681445733,21.7636492745955,3.71761886997782,18.0460304046177
"R8W_53",4.8132447545998,3.80148981096747,1.01175494363233,2.78973486733515
"R8W_31",13.9878030740963,12.6227323295446,1.36507074455173,11.2576615849929
"R8W_51",26.1498463320231,21.8229137901442,4.32693254187883,17.4959812482654
"R8W_42",24.7533226614156,21.456238337108,3.29708432430762,18.1591540128004
"R8W_49",13.4221455390826,9.34124568026166,4.08089985882089,5.26034582144077
"R8W_48",19.8376068936889,15.8105553984484,4.02705149524045,11.783503903208
"EZ55_66_2",1276.67183905533,780.465847536048,496.205991519286,284.259856016761
"EZ55_18_13",1580.0340832104,1121.11442871266,458.919654497741,662.194774214921
"R8W_23",18.9171425084554,15.16702917667,3.7501133317854,11.4169158448846
"EZ55_21_76",689.417660811506,542.843126441825,146.574534369682,396.268592072143
"R8W_1",23.619743864463,20.3386216208098,3.28112224365327,17.0574993771565
"EZ55_19_21",2033.64430820648,1355.97354487658,677.670763329903,678.302781546676
"EZ55_43_2",2369.27654488,1031.69682397632,1337.57972090368,-305.882896927355
"R8W_29",8.1510939765024,7.01101354293115,1.14008043357126,5.87093310935989
