name	group	Altererythrobacter	Alteromonas	Amorphus	Aquicoccus	Henriciella	Hwanghaeella	Lentilitoribacter	Limnobacter	Magnetospira	Maricaulis	Marinobacter	Methylophaga	Minwuia	Muricauda	Nitratireductor	Oryzicola	0rahaliea	Poriferisphaera	Prochlorococcus	Psychroserpens	Rhodophyticola	Roseibium	Roseitalea	Roseovarius	Thalassospira	Tsuneonella	un_f_Erythrobacteraceae	others
X100	0	2912	1683	113	222	2884	2	2504	178	5	1200	73	471	0	291	43	1178	0	93	338	4318	256	396	9027	128	11	695	48	255
X101	0	158	7361	13	15	199	119	277	7	7	284	92	27	16	10	4	149	24	10	19376	204	14	22	655	5	11	224	0	41
X102	0	3415	391	191	68	1285	84	3390	43	18	996	286	266	15	183	59	2441	5	221	4112	1583	342	57	8301	34	24	1238	106	170
X103	0	5382	14	178	60	3790	39	3202	7	7	2574	216	315	10	106	108	1556	4	236	2311	1325	308	38	6849	51	18	382	95	143
X104	0	8976	0	415	45	4074	11	5915	5	6	1296	79	196	0	141	202	547	0	90	413	2354	495	103	3118	91	4	396	178	174
X105	0	8264	0	281	45	4784	3	4400	15	4	1337	26	259	0	243	132	649	0	275	189	5061	530	67	1860	95	6	390	247	162
X43	1	169	27436	0	0	172	39	154	0	0	151	70	4	0	0	0	152	0	0	192	48	15	14	674	0	3	0	11	20
X44	1	679	13499	15	20	667	219	755	32	43	1981	412	80	79	74	15	646	27	167	195	7841	46	137	1358	11	56	104	10	156
X45	1	562	16138	25	32	551	105	411	11	31	1905	399	90	48	51	16	399	30	79	410	6322	37	76	1306	11	21	142	37	79
X46	1	673	11917	54	33	742	187	1094	34	52	1833	942	168	85	74	27	727	64	125	142	7565	124	125	1952	14	44	130	26	371
X47	1	1708	1279	122	145	718	65	2270	54	58	883	647	131	49	129	72	946	26	142	1358	10568	508	273	6516	60	20	160	37	380
X48	1	673	336	151	30	668	100	1575	23	41	984	342	93	23	79	71	988	114	112	12741	5797	151	138	3755	14	20	20	28	257
X49	1	3626	17	615	186	430	20	11010	9	8	1150	25	77	6	55	539	1107	43	231	1840	2817	1112	160	3284	194	0	155	104	504
X50	1	844	21063	34	34	723	24	895	1	0	375	146	33	3	29	16	726	4	12	449	175	56	54	3440	24	8	29	44	83
X51	1	1562	866	27	92	1255	0	1663	34	2	875	37	66	0	86	18	261	0	121	11	17874	142	154	3774	37	8	266	12	81
X52	1	682	14123	28	46	529	117	552	18	13	1821	462	92	36	60	0	457	20	131	233	7631	89	58	1767	16	26	187	17	113
X53	1	698	11681	18	34	493	98	896	18	37	1555	640	118	65	85	28	609	36	129	31	8495	114	158	2850	16	16	144	33	229
X54	1	1154	2077	76	58	800	74	1522	34	27	1283	798	245	25	130	90	1573	53	88	1683	10511	277	145	6072	29	22	118	20	340
X55	1	2324	17	347	123	551	40	4254	16	18	648	145	128	19	105	234	2178	57	94	8428	3996	587	88	4379	71	10	86	61	320
X56	1	3411	0	308	66	1520	3	7192	56	6	399	25	212	3	360	194	510	26	86	570	10814	369	147	2482	92	0	89	75	309
X57	1	3064	8448	101	145	1781	9	2194	7	0	358	62	48	4	84	51	1181	0	33	450	519	174	110	9952	65	12	179	85	208
X58	1	737	13251	28	54	564	165	650	14	15	1475	137	80	33	56	9	709	11	134	267	8449	48	177	1941	19	42	154	0	105
X59	1	515	16669	18	14	407	148	361	27	39	2030	405	81	100	28	10	385	44	36	803	5502	39	114	1279	8	21	126	23	92
X60	1	912	7808	17	32	397	209	1139	28	47	2023	1295	247	50	108	23	831	77	88	96	10115	186	218	2798	10	52	194	28	296
X61	1	952	4412	47	39	938	190	1236	56	67	2509	1149	225	62	86	51	1116	120	232	1239	9935	206	134	3742	33	44	123	16	365
X62	1	2156	63	227	114	843	33	3645	35	12	927	304	106	30	128	234	1542	68	110	6575	5439	576	152	5316	74	5	75	55	480
X63	1	4303	0	270	109	1043	22	6342	61	18	727	60	78	16	634	296	319	70	56	3076	7560	412	302	2771	99	10	143	90	437
X85	0	489	22990	8	17	425	76	534	0	0	708	213	20	11	21	0	375	0	21	1597	223	27	53	1362	15	17	30	8	84
X86	0	2900	1269	179	317	2376	0	3407	226	0	645	29	320	0	347	37	772	0	31	889	3152	385	532	10149	187	12	805	63	295
X87	0	359	8837	17	15	473	279	420	16	32	786	232	73	114	44	0	261	124	25	15468	279	33	65	438	10	21	822	6	75
X88	0	618	2970	34	32	684	259	751	10	9	876	328	64	81	43	14	547	61	39	18715	275	76	65	2149	16	37	464	21	86
X89	0	1746	181	55	0	1713	328	1194	13	58	2631	414	164	217	47	18	510	118	80	17946	474	90	27	879	0	21	230	34	136
