name	group	Altererythrobacter	Alteromonas	Amorphus	Aquicoccus	Henriciella	Hwanghaeella	Lentilitoribacter	Limnobacter	Magnetospira	Maricaulis	Marinobacter	Methylophaga	Minwuia	Muricauda	Nitratireductor	Oryzicola	Parahaliea	Poriferisphaera	Prochlorococcus	Psychroserpens	Rhodophyticola	Roseibium	Roseitalea	Roseovarius	Thalassospira	Tsuneonella	un_f_Erythrobacteraceae	others
X1	0	1165	8	52	55	1488	400	1144	7	27	2502	2252	74	170	83	30	1230	62	103	12223	506	52	227	4950	25	91	76	31	291
X10	0	140	4	16	7	162	140	236	7	48	364	396	32	166	18	0	152	97	7	26352	39	7	53	647	2	9	174	0	49
X11	0	648	0	48	23	800	157	812	12	11	817	552	63	96	45	10	613	107	9	21811	124	32	42	2175	0	24	207	30	56
X12	0	4148	0	116	72	4083	69	3694	25	17	4332	481	358	0	109	83	1844	0	240	940	797	298	42	6954	41	22	304	99	156
X13	0	5021	0	243	70	3159	49	3997	9	19	1847	192	155	41	117	116	1928	4	127	3469	1383	287	72	6422	44	4	249	138	162
X14	0	8494	0	267	69	2027	9	7724	11	4	1016	27	192	0	252	245	558	0	134	125	2488	498	73	4100	109	0	391	333	178
X15	0	535	0	20	30	768	194	572	4	13	1535	1091	31	118	36	7	650	26	33	20378	268	31	101	2676	7	28	17	24	131
X16	0	2226	34	83	94	1290	183	3113	193	24	2278	4287	474	139	203	31	1885	51	69	4695	1291	170	123	3119	74	66	2485	44	600
X17	0	139	1	13	9	162	119	243	9	14	382	337	24	105	20	5	158	89	9	26604	54	16	30	566	0	12	169	16	19
X18	0	807	0	77	28	1025	81	1111	23	10	657	478	60	28	62	16	948	58	19	19707	197	77	33	3480	14	28	204	33	63
X19	0	1021	0	48	14	1386	218	1011	8	44	2255	370	91	75	29	22	671	7	80	19051	286	95	23	2339	6	10	59	24	81
X2	0	1975	23	40	149	1587	112	2440	121	11	1011	3392	409	54	93	14	1360	19	29	6428	804	136	150	6504	67	154	1901	0	341
X20	0	5336	0	274	54	3011	23	4991	10	12	1166	174	165	60	128	137	2694	0	29	2548	1739	367	59	5899	29	7	167	123	122
X21	0	7582	0	179	47	3180	6	5470	20	6	1257	57	307	4	467	130	525	0	62	339	5820	436	63	2462	47	8	363	310	177
X3	0	192	5	16	13	397	244	356	22	37	530	540	55	168	29	0	213	160	8	25230	128	15	55	530	0	26	273	33	49
X4	0	1024	12	33	54	1674	174	1712	15	41	1399	1933	130	197	71	26	1159	165	23	14115	308	84	136	4133	24	53	380	60	189
X5	0	1390	0	58	6	1997	515	1492	8	53	3513	1311	203	203	51	23	622	132	109	15828	512	53	39	856	6	36	96	34	178
X6	0	4548	0	390	70	3730	6	5779	10	0	1431	64	177	7	173	119	1155	0	69	360	1797	346	51	8503	71	3	194	129	142
X7	0	5961	0	281	42	4764	12	6615	12	0	1289	51	331	0	378	166	664	2	131	126	3162	386	79	4085	100	3	291	219	174
X8	0	859	3	30	13	840	236	794	8	8	1658	1465	45	120	52	14	1048	47	44	16986	346	52	100	4291	17	21	58	2	167
X9	0	1015	24	14	49	1319	321	919	84	53	2310	5701	304	161	105	11	544	104	64	10673	917	51	194	2984	43	90	1014	3	253
X100	1	2912	1683	113	222	2884	2	2504	178	5	1200	73	471	0	291	43	1178	0	93	338	4318	256	396	9027	128	11	695	48	255
X101	1	158	7361	13	15	199	119	277	7	7	284	92	27	16	10	4	149	24	10	19376	204	14	22	655	5	11	224	0	41
X102	1	3415	391	191	68	1285	84	3390	43	18	996	286	266	15	183	59	2441	5	221	4112	1583	342	57	8301	34	24	1238	106	170
X103	1	5382	14	178	60	3790	39	3202	7	7	2574	216	315	10	106	108	1556	4	236	2311	1325	308	38	6849	51	18	382	95	143
X104	1	8976	0	415	45	4074	11	5915	5	6	1296	79	196	0	141	202	547	0	90	413	2354	495	103	3118	91	4	396	178	174
X105	1	8264	0	281	45	4784	3	4400	15	4	1337	26	259	0	243	132	649	0	275	189	5061	530	67	1860	95	6	390	247	162
X85	1	489	22990	8	17	425	76	534	0	0	708	213	20	11	21	0	375	0	21	1597	223	27	53	1362	15	17	30	8	84
X86	1	2900	1269	179	317	2376	0	3407	226	0	645	29	320	0	347	37	772	0	31	889	3152	385	532	10149	187	12	805	63	295
X87	1	359	8837	17	15	473	279	420	16	32	786	232	73	114	44	0	261	124	25	15468	279	33	65	438	10	21	822	6	75
X88	1	618	2970	34	32	684	259	751	10	9	876	328	64	81	43	14	547	61	39	18715	275	76	65	2149	16	37	464	21	86
X89	1	1746	181	55	0	1713	328	1194	13	58	2631	414	164	217	47	18	510	118	80	17946	474	90	27	879	0	21	230	34	136
X90	1	2672	27	22	20	2755	1137	646	7	715	7119	512	235	786	80	39	408	664	399	7651	1314	119	199	1064	18	58	215	54	389
X91	1	9634	0	416	102	1822	8	6733	13	0	1298	10	236	1	96	175	927	6	145	354	1984	627	105	3766	95	0	406	182	183
X92	1	474	23773	8	14	282	19	517	0	0	331	123	11	10	22	8	579	0	4	336	133	17	60	2529	0	0	34	0	40
X93	1	3191	711	121	275	2777	0	3068	271	0	888	21	506	0	396	44	450	0	27	229	3947	359	520	10184	177	7	767	67	321
X94	1	194	6638	9	14	215	128	287	7	18	384	127	34	42	23	0	157	46	14	19597	155	27	17	588	5	21	511	0	66
X95	1	775	4515	38	19	996	322	1026	11	8	808	440	86	47	61	9	703	88	78	15469	490	78	32	2432	21	31	592	35	114
X96	1	5327	8	179	86	4219	63	3506	26	6	5030	131	357	0	124	86	1408	0	297	697	1057	321	38	5138	48	25	832	96	219
X97	1	10271	0	398	58	2139	11	6634	7	3	1031	17	167	6	72	150	1331	3	121	1045	1007	343	63	3429	86	11	595	140	186
X98	1	8959	0	267	86	3709	0	5496	18	2	924	33	167	4	217	162	231	1	72	115	3831	720	169	3289	101	3	393	112	243
X99	1	247	19509	0	7	115	74	246	0	9	463	215	5	12	18	0	255	8	9	6794	62	15	40	1173	0	9	0	13	26
