name	group	Altererythrobacter	Alteromonas	Amorphus	Aquicoccus	Henriciella	Hwanghaeella	Lentilitoribacter	Limnobacter	Magnetospira	Maricaulis	Marinobacter	Methylophaga	Minwuia	Muricauda	Nitratireductor	Oryzicola	Parahaliea	Poriferisphaera	Prochlorococcus	Psychroserpens	Rhodophyticola	Roseibium	Roseitalea	Roseovarius	Thalassospira	Tsuneonella	un_f_Erythrobacteraceae	others
X100	0	2912	1683	113	222	2884	2	2504	178	5	1200	73	471	0	291	43	1178	0	93	338	4318	256	396	9027	128	11	695	48	255
X101	0	158	7361	13	15	199	119	277	7	7	284	92	27	16	10	4	149	24	10	19376	204	14	22	655	5	11	224	0	41
X102	0	3415	391	191	68	1285	84	3390	43	18	996	286	266	15	183	59	2441	5	221	4112	1583	342	57	8301	34	24	1238	106	170
X103	0	5382	14	178	60	3790	39	3202	7	7	2574	216	315	10	106	108	1556	4	236	2311	1325	308	38	6849	51	18	382	95	143
X104	0	8976	0	415	45	4074	11	5915	5	6	1296	79	196	0	141	202	547	0	90	413	2354	495	103	3118	91	4	396	178	174
X105	0	8264	0	281	45	4784	3	4400	15	4	1337	26	259	0	243	132	649	0	275	189	5061	530	67	1860	95	6	390	247	162
X85	0	489	22990	8	17	425	76	534	0	0	708	213	20	11	21	0	375	0	21	1597	223	27	53	1362	15	17	30	8	84
X86	0	2900	1269	179	317	2376	0	3407	226	0	645	29	320	0	347	37	772	0	31	889	3152	385	532	10149	187	12	805	63	295
X87	0	359	8837	17	15	473	279	420	16	32	786	232	73	114	44	0	261	124	25	15468	279	33	65	438	10	21	822	6	75
X88	0	618	2970	34	32	684	259	751	10	9	876	328	64	81	43	14	547	61	39	18715	275	76	65	2149	16	37	464	21	86
X89	0	1746	181	55	0	1713	328	1194	13	58	2631	414	164	217	47	18	510	118	80	17946	474	90	27	879	0	21	230	34	136
X90	0	2672	27	22	20	2755	1137	646	7	715	7119	512	235	786	80	39	408	664	399	7651	1314	119	199	1064	18	58	215	54	389
X91	0	9634	0	416	102	1822	8	6733	13	0	1298	10	236	1	96	175	927	6	145	354	1984	627	105	3766	95	0	406	182	183
X92	0	474	23773	8	14	282	19	517	0	0	331	123	11	10	22	8	579	0	4	336	133	17	60	2529	0	0	34	0	40
X93	0	3191	711	121	275	2777	0	3068	271	0	888	21	506	0	396	44	450	0	27	229	3947	359	520	10184	177	7	767	67	321
X94	0	194	6638	9	14	215	128	287	7	18	384	127	34	42	23	0	157	46	14	19597	155	27	17	588	5	21	511	0	66
X95	0	775	4515	38	19	996	322	1026	11	8	808	440	86	47	61	9	703	88	78	15469	490	78	32	2432	21	31	592	35	114
X96	0	5327	8	179	86	4219	63	3506	26	6	5030	131	357	0	124	86	1408	0	297	697	1057	321	38	5138	48	25	832	96	219
X97	0	10271	0	398	58	2139	11	6634	7	3	1031	17	167	6	72	150	1331	3	121	1045	1007	343	63	3429	86	11	595	140	186
X98	0	8959	0	267	86	3709	0	5496	18	2	924	33	167	4	217	162	231	1	72	115	3831	720	169	3289	101	3	393	112	243
X99	0	247	19509	0	7	115	74	246	0	9	463	215	5	12	18	0	255	8	9	6794	62	15	40	1173	0	9	0	13	26
X106	1	872	17757	24	35	779	55	834	3	2	677	357	22	8	32	10	783	8	28	2572	255	54	76	3877	16	13	37	32	106
X107	1	509	4432	31	45	744	220	807	28	52	2715	1211	127	69	57	11	542	30	72	9698	4738	62	176	2411	13	147	145	27	205
X108	1	300	1044	22	27	461	209	502	9	4	929	380	79	37	32	0	296	97	18	21977	1573	42	20	1030	12	24	106	29	65
X109	1	2067	38	177	95	1516	377	4077	39	10	1559	714	501	5	100	29	1977	32	61	10650	2535	287	50	1696	64	64	316	78	210
X110	1	1518	84	55	4	977	380	1644	3	32	2069	704	161	26	43	24	753	136	82	16031	1660	77	41	2550	7	39	62	28	134
X111	1	7440	0	213	67	2925	13	5914	8	18	838	57	193	9	141	112	1634	0	217	146	2644	347	108	5729	81	7	211	132	120
X112	1	7921	0	462	54	2717	7	4971	6	0	1013	43	342	1	136	148	920	11	184	137	3399	547	143	5300	134	0	304	233	191
X113	1	696	18218	24	29	641	144	677	0	0	908	458	21	38	42	13	576	12	21	3505	260	29	123	2701	9	17	53	8	101
X114	1	623	4012	17	31	1057	385	946	25	46	3221	1073	198	63	84	11	606	31	146	7992	5692	52	140	2250	22	146	249	8	198
X115	1	965	915	51	42	988	254	1932	24	27	1492	1048	236	13	67	14	867	49	26	12054	4611	115	33	2856	19	40	364	78	144
X116	1	809	119	93	48	895	170	1582	10	5	837	667	153	17	52	13	918	40	38	17523	1273	126	25	3544	33	26	170	48	90
