name	group	Altererythrobacter	Alteromonas	Amorphus	Aquicoccus	Henriciella	Hwanghaeella	Lentilitoribacter	Limnobacter	Magnetospira	Maricaulis	Marinobacter	Methylophaga	Minwuia	Muricauda	Nitratireductor	Oryzicola	Parahaliea	Poriferisphaera	Prochlorococcus	Psychroserpens	Rhodophyticola	Roseibium	Roseitalea	Roseovarius	Thalassospira	Tsuneonella	un_f_Erythrobacteraceae	others
X1	0	1165	8	52	55	1488	400	1144	7	27	2502	2252	74	170	83	30	1230	62	103	12223	506	52	227	4950	25	91	76	31	291
X10	0	140	4	16	7	162	140	236	7	48	364	396	32	166	18	0	152	97	7	26352	39	7	53	647	2	9	174	0	49
X11	0	648	0	48	23	800	157	812	12	11	817	552	63	96	45	10	613	107	9	21811	124	32	42	2175	0	24	207	30	56
X12	0	4148	0	116	72	4083	69	3694	25	17	4332	481	358	0	109	83	1844	0	240	940	797	298	42	6954	41	22	304	99	156
X13	0	5021	0	243	70	3159	49	3997	9	19	1847	192	155	41	117	116	1928	4	127	3469	1383	287	72	6422	44	4	249	138	162
X14	0	8494	0	267	69	2027	9	7724	11	4	1016	27	192	0	252	245	558	0	134	125	2488	498	73	4100	109	0	391	333	178
X15	0	535	0	20	30	768	194	572	4	13	1535	1091	31	118	36	7	650	26	33	20378	268	31	101	2676	7	28	17	24	131
X16	0	2226	34	83	94	1290	183	3113	193	24	2278	4287	474	139	203	31	1885	51	69	4695	1291	170	123	3119	74	66	2485	44	600
X17	0	139	1	13	9	162	119	243	9	14	382	337	24	105	20	5	158	89	9	26604	54	16	30	566	0	12	169	16	19
X18	0	807	0	77	28	1025	81	1111	23	10	657	478	60	28	62	16	948	58	19	19707	197	77	33	3480	14	28	204	33	63
X19	0	1021	0	48	14	1386	218	1011	8	44	2255	370	91	75	29	22	671	7	80	19051	286	95	23	2339	6	10	59	24	81
X2	0	1975	23	40	149	1587	112	2440	121	11	1011	3392	409	54	93	14	1360	19	29	6428	804	136	150	6504	67	154	1901	0	341
X20	0	5336	0	274	54	3011	23	4991	10	12	1166	174	165	60	128	137	2694	0	29	2548	1739	367	59	5899	29	7	167	123	122
X21	0	7582	0	179	47	3180	6	5470	20	6	1257	57	307	4	467	130	525	0	62	339	5820	436	63	2462	47	8	363	310	177
X3	0	192	5	16	13	397	244	356	22	37	530	540	55	168	29	0	213	160	8	25230	128	15	55	530	0	26	273	33	49
X4	0	1024	12	33	54	1674	174	1712	15	41	1399	1933	130	197	71	26	1159	165	23	14115	308	84	136	4133	24	53	380	60	189
X5	0	1390	0	58	6	1997	515	1492	8	53	3513	1311	203	203	51	23	622	132	109	15828	512	53	39	856	6	36	96	34	178
X6	0	4548	0	390	70	3730	6	5779	10	0	1431	64	177	7	173	119	1155	0	69	360	1797	346	51	8503	71	3	194	129	142
X7	0	5961	0	281	42	4764	12	6615	12	0	1289	51	331	0	378	166	664	2	131	126	3162	386	79	4085	100	3	291	219	174
X8	0	859	3	30	13	840	236	794	8	8	1658	1465	45	120	52	14	1048	47	44	16986	346	52	100	4291	17	21	58	2	167
X9	0	1015	24	14	49	1319	321	919	84	53	2310	5701	304	161	105	11	544	104	64	10673	917	51	194	2984	43	90	1014	3	253
X22	1	5072	0	109	171	2485	80	2943	24	9	1039	802	128	55	84	73	1440	13	22	6809	547	204	113	6321	95	18	160	60	448
X23	1	1205	19	44	72	1453	184	1532	63	32	2795	3563	297	153	95	16	1059	46	210	952	10687	86	143	3773	50	43	558	0	194
X24	1	1136	13	32	14	893	181	1153	70	22	3133	4928	259	173	109	19	876	73	173	551	10506	90	99	2912	31	33	1556	24	265
X25	1	1732	12	41	177	1634	95	2143	124	45	1901	4193	416	110	204	46	489	61	153	72	8623	276	125	3990	107	34	1954	41	526
X26	1	615	97	37	62	1270	239	1368	85	121	3135	7851	264	158	105	20	1025	166	144	2002	5618	164	112	3327	37	49	584	24	645
X27	1	295	0	94	36	614	139	1025	19	99	1707	1916	85	182	77	52	1018	326	109	12745	3048	127	170	4753	14	27	130	6	511
X28	1	1341	0	329	70	825	25	6167	37	16	865	379	86	44	246	187	1062	84	132	11159	2252	307	229	2387	64	5	205	46	775
X29	1	1572	7	48	63	1469	269	1504	10	17	2064	2652	87	104	57	17	1462	30	23	11508	607	107	78	5137	14	24	67	41	286
X30	1	1026	22	31	56	1673	362	909	55	95	4039	4591	303	194	81	8	514	72	220	2393	8769	64	243	2727	37	116	475	6	243
X31	1	995	16	59	68	1464	192	1162	66	53	3888	5025	309	230	85	17	757	79	197	799	9011	87	97	2681	19	62	1551	50	305
X32	1	828	28	67	73	1710	130	1201	80	29	3682	5898	322	191	88	28	757	131	110	234	9008	123	126	3004	34	43	930	47	422
X33	1	691	10	47	83	1606	165	1505	119	87	2821	5399	295	142	101	44	943	123	139	2426	7061	179	83	3784	51	54	648	63	655
X34	1	291	0	93	42	757	131	1055	27	85	1564	1224	81	205	69	51	965	356	122	14557	2915	105	141	3946	17	27	70	30	398
X35	1	2119	0	482	153	1495	20	9290	71	14	685	174	137	32	336	447	617	119	60	2709	4133	670	181	3994	163	0	419	111	693
X36	1	1342	24	45	53	1484	219	1209	6	10	2191	2402	92	146	103	23	1405	51	71	12778	707	85	127	4158	25	81	52	47	388
X37	1	2999	2	85	204	2263	34	4169	166	8	959	1531	417	19	167	28	646	1	147	717	8959	236	75	3791	106	21	1247	38	289
X38	1	934	31	70	41	1549	494	1125	84	119	4435	6637	278	303	92	9	746	167	229	1669	5367	88	129	2028	25	85	2181	73	336
X39	1	996	23	45	115	2094	204	1454	125	42	3253	6277	379	135	87	22	944	149	112	170	6518	163	127	2857	42	45	2438	51	457
X40	1	584	10	42	97	1652	170	1238	113	65	3399	5468	322	209	105	30	870	182	233	5247	3810	191	135	2932	37	65	1363	44	711
X41	1	291	0	70	43	502	85	742	16	51	1468	1435	98	167	31	49	937	258	55	16387	1939	108	165	3737	12	11	254	5	408
X42	1	1810	0	409	142	1019	53	6806	60	32	703	217	73	72	165	322	1522	105	63	5684	2265	590	345	5078	107	7	880	114	681
