 name	group	Altererythrobacter	Alteromonas	Amorphus	Aquicoccus	Henriciella	Hwanghaeella	Lentilitoribacter	Limnobacter	Magnetospira	Maricaulis	Marinobacter	Methylophaga	Minwuia	Muricauda	Nitratireductor	Oryzicola	Parahaliea	Poriferisphaera	Prochlorococcus	Psychroserpens	Rhodophyticola	Roseibium	Roseitalea	Roseovarius	Thalassospira	Tsuneonella	un_f_Erythrobacteraceae	others
X1	0	1165	8	52	55	1488	400	1144	7	27	2502	2252	74	170	83	30	1230	62	103	12223	506	52	227	4950	25	91	76	31	291
X10	0	140	4	16	7	162	140	236	7	48	364	396	32	166	18	0	152	97	7	26352	39	7	53	647	2	9	174	0	49
X11	0	648	0	48	23	800	157	812	12	11	817	552	63	96	45	10	613	107	9	21811	124	32	42	2175	0	24	207	30	56
X12	0	4148	0	116	72	4083	69	3694	25	17	4332	481	358	0	109	83	1844	0	240	940	797	298	42	6954	41	22	304	99	156
X13	0	5021	0	243	70	3159	49	3997	9	19	1847	192	155	41	117	116	1928	4	127	3469	1383	287	72	6422	44	4	249	138	162
X14	0	8494	0	267	69	2027	9	7724	11	4	1016	27	192	0	252	245	558	0	134	125	2488	498	73	4100	109	0	391	333	178
X15	0	535	0	20	30	768	194	572	4	13	1535	1091	31	118	36	7	650	26	33	20378	268	31	101	2676	7	28	17	24	131
X16	0	2226	34	83	94	1290	183	3113	193	24	2278	4287	474	139	203	31	1885	51	69	4695	1291	170	123	3119	74	66	2485	44	600
X17	0	139	1	13	9	162	119	243	9	14	382	337	24	105	20	5	158	89	9	26604	54	16	30	566	0	12	169	16	19
X18	0	807	0	77	28	1025	81	1111	23	10	657	478	60	28	62	16	948	58	19	19707	197	77	33	3480	14	28	204	33	63
X19	0	1021	0	48	14	1386	218	1011	8	44	2255	370	91	75	29	22	671	7	80	19051	286	95	23	2339	6	10	59	24	81
X2	0	1975	23	40	149	1587	112	2440	121	11	1011	3392	409	54	93	14	1360	19	29	6428	804	136	150	6504	67	154	1901	0	341
X20	0	5336	0	274	54	3011	23	4991	10	12	1166	174	165	60	128	137	2694	0	29	2548	1739	367	59	5899	29	7	167	123	122
X21	0	7582	0	179	47	3180	6	5470	20	6	1257	57	307	4	467	130	525	0	62	339	5820	436	63	2462	47	8	363	310	177
X3	0	192	5	16	13	397	244	356	22	37	530	540	55	168	29	0	213	160	8	25230	128	15	55	530	0	26	273	33	49
X4	0	1024	12	33	54	1674	174	1712	15	41	1399	1933	130	197	71	26	1159	165	23	14115	308	84	136	4133	24	53	380	60	189
X5	0	1390	0	58	6	1997	515	1492	8	53	3513	1311	203	203	51	23	622	132	109	15828	512	53	39	856	6	36	96	34	178
X6	0	4548	0	390	70	3730	6	5779	10	0	1431	64	177	7	173	119	1155	0	69	360	1797	346	51	8503	71	3	194	129	142
X7	0	5961	0	281	42	4764	12	6615	12	0	1289	51	331	0	378	166	664	2	131	126	3162	386	79	4085	100	3	291	219	174
X8	0	859	3	30	13	840	236	794	8	8	1658	1465	45	120	52	14	1048	47	44	16986	346	52	100	4291	17	21	58	2	167
X9	0	1015	24	14	49	1319	321	919	84	53	2310	5701	304	161	105	11	544	104	64	10673	917	51	194	2984	43	90	1014	3	253
X64	1	6553	10	103	346	3934	41	4560	26	7	1095	2690	129	38	149	99	1724	11	39	2018	607	349	112	3636	151	33	247	67	550
X65	1	818	11	43	50	749	345	1076	104	75	1773	4691	282	142	72	14	953	59	53	13087	477	63	187	2932	21	71	960	16	200
X66	1	196	0	12	7	257	189	246	10	41	469	349	33	160	16	0	162	111	8	25957	56	6	57	703	7	13	205	0	54
X67	1	402	0	21	0	570	104	575	10	20	502	454	34	60	40	15	418	62	24	24326	86	21	34	1334	7	16	131	0	58
X68	1	1839	2	54	25	1925	299	906	12	35	3290	981	146	199	44	26	612	78	51	15697	432	69	71	2197	10	22	143	36	123
X69	1	5000	0	223	46	3550	43	3521	18	7	1863	484	201	60	109	141	1971	28	92	5319	1439	187	113	4357	35	19	222	112	164
X70	1	8253	0	339	50	3812	2	5571	12	0	1448	41	313	0	321	217	1134	0	356	220	3129	359	57	2940	67	4	328	211	140
X71	1	2023	9	96	65	1937	81	1590	15	6	1193	1936	98	62	87	11	1640	21	45	12496	575	115	75	4678	48	41	93	31	257
X72	1	722	12	21	41	952	193	917	100	96	1906	4155	201	129	80	13	146	32	33	15584	636	58	180	1603	47	55	1176	21	215
X73	1	323	0	17	29	399	158	548	13	16	505	693	55	68	35	0	252	116	13	24276	108	34	20	1158	11	18	357	7	95
X74	1	860	1	61	24	1209	249	1180	17	14	1146	921	115	121	83	17	906	152	58	18409	214	52	67	2988	11	40	270	44	95
X75	1	2445	0	46	39	3340	456	2057	15	21	3157	1220	239	115	128	49	944	114	168	10182	902	82	22	3215	21	50	136	40	121
X76	1	4363	0	217	30	2862	141	3089	7	32	2895	654	212	109	113	116	1782	119	49	5684	1591	196	185	4269	41	32	171	123	242
X77	1	8653	0	462	101	1123	7	6450	0	5	834	64	126	13	70	272	1762	13	141	1095	1530	435	117	4934	103	11	488	316	199
X78	1	5168	8	141	239	2714	43	3474	16	22	1440	2179	123	49	148	57	297	20	25	9020	736	262	176	2087	110	38	184	52	496
X79	1	3403	8	90	284	2852	14	3383	252	3	1049	1631	690	11	219	49	143	17	16	7294	1551	186	137	1872	259	15	3373	43	480
X80	1	210	0	11	10	296	166	414	7	25	463	598	38	112	15	0	224	113	7	25472	60	13	52	782	3	35	150	17	31
X81	1	973	10	54	23	1424	207	1192	18	15	954	1085	116	43	70	16	944	92	58	19135	303	70	22	2203	13	35	152	30	67
X82	1	2155	0	86	17	3184	219	2198	14	31	2451	1045	167	101	56	42	978	29	75	12818	709	78	68	2467	23	21	84	54	154
X83	1	8207	0	404	67	1683	64	5499	0	11	1439	230	121	65	50	228	2211	25	35	2156	1100	324	110	4461	81	7	200	309	237
X84	1	8175	0	272	69	4271	6	5060	12	13	1088	62	233	8	332	122	271	11	120	1176	4110	356	96	2697	111	5	273	173	202
