"seq_id"	"P5_mean_fpkm"	"P6_mean_fpkm"	"logFC.P6.P5."	"p.value"	"significant"	"regulate"	"KO.x"	"Pathway"	"g"	"abslogfc"	"KO_g"	"Description"	"KO.y"	"Definition"	"gene_name"	"KO_gene"
"comp21583_c0_seq1.47.1609.plus.P51"	337.41	7.18	-5.54	2.8e-11	"yes"	"down"	"K01610"	"map00010"	"Alteromonas"	5.54	"K01610_Alteromonas"	"Phosphoenolpyruvate Carboxylase"	"K01610"	"phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]"	"-"	"K01610 _ -"
"comp21583_c0_seq1.47.1609.plus.P51"	337.41	7.18	-5.54	2.8e-11	"yes"	"down"	"K01610"	"map00020"	"Alteromonas"	5.54	"K01610_Alteromonas"	"Phosphoenolpyruvate Carboxylase"	"K01610"	"phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]"	"-"	"K01610 _ -"
"comp28541_c0_seq1.7276.8433.plus.P31"	34.6	0.82	-5.24	1.36e-07	"yes"	"down"	"K00121"	"map00010"	"Alteromonas"	5.24	"K00121_Alteromonas"	"alcohol dehydrogenase"	"K00121"	"S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]"	"-"	"K00121 _ -"
"comp28884_c0_seq1.8022.10394.plus.P31"	192.08	5.77	-5.03	1.8e-07	"yes"	"down"	"K01007"	"map00010"	"Alteromonas"	5.03	"K01007_Alteromonas"	"phosphotransferase activity, paired acceptors"	"K01007"	"pyruvate, water dikinase [EC:2.7.9.2]"	"-"	"K01007 _ -"
"comp33339_c0_seq1.37.1458.minus.P31"	110.78	5.18	-4.39	1.35e-06	"yes"	"down"	"K00382"	"map00010"	"Alteromonas"	4.39	"K00382_Alteromonas"	"dihydrolipoyl dehydrogenase"	"K00382"	"dihydrolipoamide dehydrogenase [EC:1.8.1.4]"	"-"	"K00382 _ -"
"comp33339_c0_seq1.37.1458.minus.P31"	110.78	5.18	-4.39	1.35e-06	"yes"	"down"	"K00382"	"map00020"	"Alteromonas"	4.39	"K00382_Alteromonas"	"dihydrolipoyl dehydrogenase"	"K00382"	"dihydrolipoamide dehydrogenase [EC:1.8.1.4]"	"-"	"K00382 _ -"
"comp29799_c0_seq1.1112.2557.plus.P33"	226.68	4.76	-5.55	1.72e-06	"yes"	"down"	"K00134"	"map00010"	"Alteromonas"	5.55	"K00134_Alteromonas"	"glyceraldehyde3phosphate dehydrogenase"	"K00134"	"glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]"	"-"	"K00134 _ -"
"comp30713_c0_seq1.13867.14766.plus.P31"	113.48	8.12	-3.79	3.19e-06	"yes"	"down"	"K01623"	"map00010"	"Alteromonas"	3.79	"K01623_Alteromonas"	"fructose-bisphosphate aldolase"	"K01623"	"fructose-bisphosphate aldolase, class I [EC:4.1.2.13]"	"-"	"K01623 _ -"
"comp30713_c0_seq1.13867.14766.plus.P31"	113.48	8.12	-3.79	3.19e-06	"yes"	"down"	"K01623"	"map00030"	"Alteromonas"	3.79	"K01623_Alteromonas"	"fructose-bisphosphate aldolase"	"K01623"	"fructose-bisphosphate aldolase, class I [EC:4.1.2.13]"	"-"	"K01623 _ -"
"comp30713_c0_seq1.13867.14766.plus.P31"	113.48	8.12	-3.79	3.19e-06	"yes"	"down"	"K01623"	"map00051"	"Alteromonas"	3.79	"K01623_Alteromonas"	"fructose-bisphosphate aldolase"	"K01623"	"fructose-bisphosphate aldolase, class I [EC:4.1.2.13]"	"-"	"K01623 _ -"
