seq_id	P5_mean_fpkm	P3_mean_fpkm	logFC.P3.P5.	p.value	significant	regulate	KO	Pathway	g	KO_g
comp16211_c1_seq1.106.807.plus.P22	0	506.86	12.31	1.20E-15	yes	up	K02703	"map00195,map01100"	Tangaroavirus	K02703_Tangaroavirus
comp14146_c0_seq1.6620.8143.minus.P11	12700.88	88.83	-7.16	7.84E-10	yes	down	K02704	"map00195,map01100"	Prochlorococcus	K02704_Prochlorococcus
comp13114_c0_seq1.19386.19634.plus.P13	4083.42	25.44	-7.32	2.94E-09	yes	down	K02707	"map00195,map01100"	Prochlorococcus	K02707_Prochlorococcus
comp21841_c3_seq1.16153.16710.plus.P21	10253.11	112.26	-6.51	3.14E-09	yes	down	K02694	"map00195,map01100"	Prochlorococcus	K02694_Prochlorococcus
comp17591_c23_seq1.142.669.minus.P11	2408.71	23.07	-6.7	4.05E-09	yes	down	K02699	"map00195,map01100"	Prochlorococcus	K02699_Prochlorococcus
comp17608_c26_seq1.218.1021.plus.P11	7636.86	90	-6.41	5.16E-09	yes	down	K02716	"map00195,map01100"	Prochlorococcus	K02716_Prochlorococcus
comp16042_c0_seq1.47953.48213.plus.P11	10935.59	127.04	-6.43	1.05E-08	yes	down	K02724	"map00195,map01100"	Prochlorococcus	K02724_Prochlorococcus
comp17591_c78_seq1.591.2897.plus.P11	14315.16	216.58	-6.05	1.59E-08	yes	down	K02689	"map00195,map01100"	Prochlorococcus	K02689_Prochlorococcus
comp16966_c4_seq1.9631.10056.plus.P11	3804.39	59.83	-5.99	2.31E-08	yes	down	K02692	"map00195,map01100"	Prochlorococcus	K02692_Prochlorococcus
comp21839_c6_seq1.2884.5112.plus.P21	7100.41	145.49	-5.61	1.11E-07	yes	down	K02690	"map00195,map01100"	Prochlorococcus	K02690_Prochlorococcus
comp17591_c113_seq1.736.954.plus.P11	1976.82	19.46	-6.66	1.27E-07	yes	down	K02693	"map00195,map01100"	Prochlorococcus	K02693_Prochlorococcus
comp17637_c0_seq1.6031.6291.plus.P11	4938.63	44.09	-6.8	1.37E-07	yes	down	K02698	"map00195,map01100"	Prochlorococcus	K02698_Prochlorococcus
comp20651_c134_seq1.2309.2659.plus.P12	24517.12	636.81	-5.27	7.48E-07	yes	down	K02638	"map00195,map01100"	Prochlorococcus	K02638_Prochlorococcus
comp8659_c22_seq1.1169.1366.plus.P12	2376.4	41.83	-5.82	2.56E-06	yes	down	K02709	"map00195,map01100"	Prochlorococcus	K02709_Prochlorococcus
comp30395_c0_seq2.909.1295.plus.P32	276.64	11.82	-4.54	6.24E-06	yes	down	K02639	"map00195,map01100"	Prochlorococcus	K02639_Prochlorococcus
comp14144_c2_seq1.2558.3940.minus.P11	31909.18	988.34	-5.01	8.03E-06	yes	down	K02705	"map00195,map01100"	Prochlorococcus	K02705_Prochlorococcus
comp17532_c1_seq1.4608.6074.plus.P11	2834.02	138.41	-4.35	9.24E-06	yes	down	K02112	"map00190,map00195,map01100"	Prochlorococcus	K02112_Prochlorococcus
comp21841_c0_seq1.2233.2769.plus.P21	1872.87	92.29	-4.34	1.03E-05	yes	down	K02636	"map00195,map01100"	Prochlorococcus	K02636_Prochlorococcus
comp20656_c9_seq1.1123.2199.plus.P12	33493.99	1163.24	-4.85	2.12E-05	yes	down	K02706	"map00195,map01100"	Prochlorococcus	K02706_Prochlorococcus
comp5988_c0_seq1.1714.2679.minus.P13	1959.99	117.3	-4.06	2.62E-05	yes	down	K02634	"map00195,map01100"	Prochlorococcus	K02634_Prochlorococcus
comp20651_c47_seq1.340.819.plus.P12	2727.41	149.13	-4.19	2.83E-05	yes	down	K08902	"map00195,map01100"	Prochlorococcus	K08902_Prochlorococcus
comp20516_c21_seq1.3639.5153.minus.P12	3883.56	250.35	-3.95	4.57E-05	yes	down	K02111	"map00190,map00195,map01100"	Prochlorococcus	K02111_Prochlorococcus
comp12222_c0_seq1.1565.1813.plus.P13	1864.86	104.05	-4.16	5.89E-05	yes	down	K02110	"map00190,map00195,map01100"	Prochlorococcus	K02110_Prochlorococcus
comp17532_c1_seq1.6130.6537.plus.P11	1331.4	86.64	-3.94	6.92E-05	yes	down	K02114	"map00190,map00195,map01100"	Prochlorococcus	K02114_Prochlorococcus
comp17608_c69_seq1.31.1266.minus.P11	77066.37	3511.68	-4.46	8.71E-05	yes	down	K02703	"map00195,map01100"	Prochlorococcus	K02703_Prochlorococcus
comp13114_c0_seq1.19795.19992.plus.P13	906.01	24.65	-5.19	0.000132	yes	down	K02711	"map00195,map01100"	Prochlorococcus	K02711_Prochlorococcus
comp19723_c7_seq1.12949.13494.plus.P12	950.35	80.51	-3.56	0.000151	yes	down	K02717	"map00195,map01100"	Prochlorococcus	K02717_Prochlorococcus
comp12222_c0_seq1.1943.2404.plus.P13	1704.42	131.43	-3.7	0.000161	yes	down	K02109	"map00190,map00195,map01100"	Prochlorococcus	K02109_Prochlorococcus
comp9005_c0_seq1.6895.7986.plus.P51	1909.02	170.06	-3.49	0.000171	yes	down	K02641	"map00195,map01100"	Prochlorococcus	K02641_Prochlorococcus
comp12222_c0_seq1.5074.6024.plus.P13	1584.89	133.99	-3.56	0.000172	yes	down	K02115	"map00190,map00195,map01100"	Prochlorococcus	K02115_Prochlorococcus
comp12222_c0_seq1.671.1396.plus.P13	1757.06	148.61	-3.56	0.000315	yes	down	K02108	"map00190,map00195,map01100"	Prochlorococcus	K02108_Prochlorococcus
comp12222_c0_seq1.2985.3461.plus.P13	497.98	47.98	-3.37	0.00043	yes	down	K02113	"map00190,map00195,map01100"	Prochlorococcus	K02113_Prochlorococcus
comp14295_c7_seq1.1766.2053.plus.P13	217.47	20.7	-3.39	0.000502	yes	down	K08906	"map00195,map01100"	Prochlorococcus	K08906_Prochlorococcus
comp14336_c0_seq1.79.273.plus.P11	0	9.35	6.56	0.00151	no	up	K02110	"map00190,map00195,map01100"	Psychroserpens	K02110_Psychroserpens
comp30393_c0_seq1.33.1565.minus.P33	0.26	4.61	3.7	0.00256	no	up	K02111	"map00190,map00195,map01100"	Oceaniradius	K02111_Oceaniradius
comp22153_c0_seq2.17.1123.plus.P21	1.62	15.62	3.2	0.00671	no	up	K02108	"map00190,map00195,map01100"	Psychroserpens	K02108_Psychroserpens
comp20887_c0_seq2.325.1833.minus.P71	2.26	24.7	3.39	0.00704	no	up	K02112	"map00190,map00195,map01100"	Psychroserpens	K02112_Psychroserpens
comp129889_c0_seq1.24.521.plus.P11	3.31	33.08	3.28	0.00811	no	up	K02109	"map00190,map00195,map01100"	Psychroserpens	K02109_Psychroserpens
comp21345_c4_seq7.242.1774.minus.P23	2.94	0.21	-3.31	0.00833	no	down	K02111	"map00190,map00195,map01100"	Maricaulis	K02111_Maricaulis
comp20259_c1_seq1.444.1380.minus.P61	2.76	0.43	-2.42	0.00901	no	down	K02112	"map00190,map00195,map01100"	Thalassospira	K02112_Thalassospira
comp65697_c0_seq1.146.643.minus.P41	3.14	0.25	-3.22	0.00954	no	down	K02109	"map00190,map00195,map01100"	Altererythrobacter	K02109_Altererythrobacter
