ID	nr_annotation
NATL1A_1	WP_011822802.1 DNA polymerase III subunit beta [Prochlorococcus marinus]
NATL1A_2	WP_011822803.1 PRC-barrel domain-containing protein [Prochlorococcus marinus]
NATL1A_3	WP_011822804.1 phosphoribosylformylglycinamidine synthase subunit PurL [Prochlorococcus marinus]
NATL1A_4	WP_011822805.1 amidophosphoribosyltransferase [Prochlorococcus marinus]
NATL1A_5	WP_011822806.1 DNA topoisomerase 4 subunit A [Prochlorococcus marinus]
NATL1A_6	"ABM74569.1 Flp pilus assembly protein TadD, contains TPR repeats [Prochlorococcus marinus str. NATL1A]"
NATL1A_7	WP_011822808.1 tRNA epoxyqueuosine(34) reductase QueG [Prochlorococcus marinus]
NATL1A_8	WP_036906069.1 DUF502 domain-containing protein [Prochlorococcus marinus]
NATL1A_9	WP_011822810.1 transcription antitermination factor NusB [Prochlorococcus marinus]
NATL1A_10	WP_011822811.1 signal recognition particle-docking protein FtsY [Prochlorococcus marinus]
NATL1A_11	WP_011822812.1 serine/threonine-protein phosphatase [Prochlorococcus marinus]
NATL1A_12	WP_011822813.1 argininosuccinate lyase [Prochlorococcus marinus]
NATL1A_13	WP_011822814.1 RNA-binding protein [Prochlorococcus marinus]
NATL1A_14	WP_011822815.1 tRNA dihydrouridine(20/20a) synthase DusA [Prochlorococcus marinus]
NATL1A_15	WP_011822816.1 peptide-methionine (R)-S-oxide reductase MsrB [Prochlorococcus marinus]
NATL1A_16	WP_011822817.1 nucleotide exchange factor GrpE [Prochlorococcus marinus]
NATL1A_17	WP_011822818.1 molecular chaperone DnaJ [Prochlorococcus marinus]
NATL1A_18	WP_011822819.1 sulfurtransferase TusA family protein [Prochlorococcus marinus]
NATL1A_19	WP_011822820.1 ribosome small subunit-dependent GTPase A [Prochlorococcus marinus]
NATL1A_20	WP_011822821.1 YbaB/EbfC family nucleoid-associated protein [Prochlorococcus marinus]
NATL1A_21	WP_011822822.1 UDP-N-acetylmuramate dehydrogenase [Prochlorococcus marinus]
NATL1A_22	WP_011822823.1 UDP-N-acetylmuramate--L-alanine ligase [Prochlorococcus marinus]
NATL1A_23	WP_011822824.1 type I glyceraldehyde-3-phosphate dehydrogenase [Prochlorococcus marinus]
NATL1A_24	WP_011822825.1 thiamine-phosphate kinase [Prochlorococcus marinus]
NATL1A_25	WP_011822826.1 peptidylprolyl isomerase [Prochlorococcus marinus]
NATL1A_26	WP_011822827.1 elongation factor P [Prochlorococcus marinus]
NATL1A_27	WP_011822828.1 acetyl-CoA carboxylase biotin carboxyl carrier protein [Prochlorococcus marinus]
NATL1A_28	WP_011822829.1 4-hydroxythreonine-4-phosphate dehydrogenase PdxA [Prochlorococcus marinus]
NATL1A_29	WP_011822830.1 SDR family oxidoreductase [Prochlorococcus marinus]
NATL1A_30	WP_011822832.1 HNH endonuclease [Prochlorococcus marinus]
NATL1A_31	WP_011822833.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_32	WP_225866980.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_33	WP_011822835.1 alanine--glyoxylate aminotransferase family protein [Prochlorococcus marinus]
NATL1A_34	WP_011822836.1 cobalt-precorrin-5B (C(1))-methyltransferase CbiD [Prochlorococcus marinus]
NATL1A_35	WP_011822837.1 glutamine-hydrolyzing GMP synthase [Prochlorococcus marinus]
NATL1A_36	WP_011822838.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_37	WP_011822839.1 DNA cytosine methyltransferase [Prochlorococcus marinus]
NATL1A_38	WP_011822840.1 LlaMI family restriction endonuclease [Prochlorococcus marinus]
NATL1A_39	WP_011822841.1 glutathione binding-like protein [Prochlorococcus marinus]
NATL1A_40	WP_011822842.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_41	WP_011822843.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_42	none
NATL1A_43	WP_011822844.1 sulfotransferase [Prochlorococcus marinus]
NATL1A_44	WP_011822845.1 tetratricopeptide repeat protein [Prochlorococcus marinus]
NATL1A_45	WP_011822846.1 methyltransferase domain-containing protein [Prochlorococcus marinus]
NATL1A_46	WP_041700649.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_47	WP_011822849.1 ion transporter [Prochlorococcus marinus]
NATL1A_48	ABM74612.1 Hypothetical protein NATL1_00481 [Prochlorococcus marinus str. NATL1A]
NATL1A_49	WP_011822851.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_50	ABI23477.1 conserved hypothetical protein [Prochlorococcus marinus str. NATL1A]
NATL1A_51	WP_011822853.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_52	WP_011822854.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_53	WP_011822855.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_54	WP_011822856.1 penicillin-binding protein 2 [Prochlorococcus marinus]
NATL1A_55	WP_011822857.1 NAD(P)H-dependent oxidoreductase [Prochlorococcus marinus]
NATL1A_56	WP_049752900.1 diflavin flavoprotein [Prochlorococcus marinus]
NATL1A_57	WP_011822859.1 diflavin flavoprotein [Prochlorococcus marinus]
NATL1A_58	WP_011822860.1 alanine--tRNA ligase [Prochlorococcus marinus]
NATL1A_59	WP_011822861.1 biosynthetic arginine decarboxylase [Prochlorococcus marinus]
NATL1A_60	WP_011822862.1 nucleoside-diphosphate kinase [Prochlorococcus marinus]
NATL1A_61	WP_011822863.1 glycine oxidase ThiO [Prochlorococcus marinus]
NATL1A_62	WP_011822864.1 Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB [Prochlorococcus marinus]
NATL1A_63	WP_011822865.1 dephospho-CoA kinase [Prochlorococcus marinus]
NATL1A_64	WP_011822866.1 bifunctional glutamate N-acetyltransferase/amino-acid acetyltransferase ArgJ [Prochlorococcus marinus]
NATL1A_65	WP_011822867.1 DUF4214 domain-containing protein [Prochlorococcus marinus]
NATL1A_66	WP_011822868.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_67	WP_011822869.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_68	WP_011822870.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_69	WP_196218560.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_70	WP_011822872.1 cyanase [Prochlorococcus marinus]
NATL1A_71	WP_011822873.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_72	WP_011822874.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_73	WP_011822875.1 tetratricopeptide repeat protein [Prochlorococcus marinus]
