"seq_id"	"P5_mean_fpkm"	"P3_mean_fpkm"	"logFC.P3.P5."	"p.value"	"significant"	"regulate"	"KO.x"	"Pathway"	"g"	"KO_g"	"abslogfc"	"Description"	"KO.y"	"Definition"	"gene_name"	"KO_gene"
"comp16211_c1_seq1.106.807.plus.P22"	0	506.86	12.31	1.2e-15	"yes"	"up"	"K02703"	"map00195"	"Tangaroavirus"	"K02703_Tangaroavirus"	12.31	"This is one of the two reaction center proteins of photosystem II"	"K02703"	"photosystem II P680 reaction center D1 protein [EC:1.10.3.9]"	"-"	"K02703 _ -"
"comp14146_c0_seq1.6620.8143.minus.P11"	12700.88	88.83	-7.16	7.84e-10	"yes"	"down"	"K02704"	"map00195"	"Prochlorococcus"	"K02704_Prochlorococcus"	7.16	"Photosystem II"	"K02704"	"photosystem II CP47 chlorophyll apoprotein"	"psbB"	"K02704 _ psbB"
"comp13114_c0_seq1.19386.19634.plus.P13"	4083.42	25.44	-7.32	2.94e-09	"yes"	"down"	"K02707"	"map00195"	"Prochlorococcus"	"K02707_Prochlorococcus"	7.32	"-"	"K02707"	"photosystem II cytochrome b559 subunit alpha"	"psbE"	"K02707 _ psbE"
"comp21841_c3_seq1.16153.16710.plus.P21"	10253.11	112.26	-6.51	3.14e-09	"yes"	"down"	"K02694"	"map00195"	"Prochlorococcus"	"K02694_Prochlorococcus"	6.51	"photosystem i"	"K02694"	"photosystem I subunit III"	"psaF"	"K02694 _ psaF"
"comp17591_c23_seq1.142.669.minus.P11"	2408.71	23.07	-6.7	4.05e-09	"yes"	"down"	"K02699"	"map00195"	"Prochlorococcus"	"K02699_Prochlorococcus"	6.7	"photosystem I reaction center"	"K02699"	"photosystem I subunit XI"	"-"	"K02699 _ -"
"comp17608_c26_seq1.218.1021.plus.P11"	7636.86	90	-6.41	5.16e-09	"yes"	"down"	"K02716"	"map00195"	"Prochlorococcus"	"K02716_Prochlorococcus"	6.41	"photosystem II manganese-stabilizing"	"K02716"	"photosystem II oxygen-evolving enhancer protein 1"	"psbO"	"K02716 _ psbO"
"comp16042_c0_seq1.47953.48213.plus.P11"	10935.59	127.04	-6.43	1.05e-08	"yes"	"down"	"K02724"	"map00195"	"Prochlorococcus"	"K02724_Prochlorococcus"	6.43	"-"	"K02724"	"photosystem II PsbZ protein"	"-"	"K02724 _ -"
"comp17591_c78_seq1.591.2897.plus.P11"	14315.16	216.58	-6.05	1.59e-08	"yes"	"down"	"K02689"	"map00195"	"Prochlorococcus"	"K02689_Prochlorococcus"	6.05	"PsaA and PsaB bind P700, the primary electron donor of photosystem I (PSI), as well as the electron acceptors A0, A1 and FX. PSI is a plastocyanin cytochrome c6-ferredoxin oxidoreductase, converting photonic excitation into a charge separation, which transfers an electron from the donor P700 chlorophyll pair to the spectroscopically characterized acceptors A0, A1, FX, FA and FB in turn. Oxidized P700 is reduced on the lumenal side of the thylakoid membrane by plastocyanin or cytochrome c6"	"K02689"	"photosystem I P700 chlorophyll a apoprotein A1"	"psaA"	"K02689 _ psaA"
"comp16966_c4_seq1.9631.10056.plus.P11"	3804.39	59.83	-5.99	2.31e-08	"yes"	"down"	"K02692"	"map00195"	"Prochlorococcus"	"K02692_Prochlorococcus"	5.99	"-"	"K02692"	"photosystem I subunit II"	"psaD"	"K02692 _ psaD"
"comp21839_c6_seq1.2884.5112.plus.P21"	7100.41	145.49	-5.61	1.11e-07	"yes"	"down"	"K02690"	"map00195"	"Prochlorococcus"	"K02690_Prochlorococcus"	5.61	"PsaA and PsaB bind P700, the primary electron donor of photosystem I (PSI), as well as the electron acceptors A0, A1 and FX. PSI is a plastocyanin cytochrome c6-ferredoxin oxidoreductase, converting photonic excitation into a charge separation, which transfers an electron from the donor P700 chlorophyll pair to the spectroscopically characterized acceptors A0, A1, FX, FA and FB in turn. Oxidized P700 is reduced on the lumenal side of the thylakoid membrane by plastocyanin or cytochrome c6"	"K02690"	"photosystem I P700 chlorophyll a apoprotein A2"	"psaB"	"K02690 _ psaB"
"comp17591_c113_seq1.736.954.plus.P11"	1976.82	19.46	-6.66	1.27e-07	"yes"	"down"	"K02693"	"map00195"	"Prochlorococcus"	"K02693_Prochlorococcus"	6.66	"Stabilizes the interaction between PsaC and the PSI core, assists the docking of the ferredoxin to PSI and interacts with ferredoxin-NADP oxidoreductase (By similarity)"	"K02693"	"photosystem I subunit IV"	"psaE"	"K02693 _ psaE"
"comp17637_c0_seq1.6031.6291.plus.P11"	4938.63	44.09	-6.8	1.37e-07	"yes"	"down"	"K02698"	"map00195"	"Prochlorococcus"	"K02698_Prochlorococcus"	6.8	"photosystem I subunit X"	"K02698"	"photosystem I subunit X"	"psaK"	"K02698 _ psaK"
"comp20651_c134_seq1.2309.2659.plus.P12"	24517.12	636.81	-5.27	7.48e-07	"yes"	"down"	"K02638"	"map00195"	"Prochlorococcus"	"K02638_Prochlorococcus"	5.27	"Blue (Type 1) copper domain protein"	"K02638"	"plastocyanin"	"petE"	"K02638 _ petE"
"comp8659_c22_seq1.1169.1366.plus.P12"	2376.4	41.83	-5.82	2.56e-06	"yes"	"down"	"K02709"	"map00195"	"Prochlorococcus"	"K02709_Prochlorococcus"	5.82	"photosystem II reaction center protein H"	"K02709"	"photosystem II PsbH protein"	"psbH"	"K02709 _ psbH"
"comp30395_c0_seq2.909.1295.plus.P32"	276.64	11.82	-4.54	6.24e-06	"yes"	"down"	"K02639"	"map00195"	"Prochlorococcus"	"K02639_Prochlorococcus"	4.54	"Ferredoxin"	"K02639"	"ferredoxin"	"-"	"K02639 _ -"
"comp14144_c2_seq1.2558.3940.minus.P11"	31909.18	988.34	-5.01	8.03e-06	"yes"	"down"	"K02705"	"map00195"	"Prochlorococcus"	"K02705_Prochlorococcus"	5.01	"Photosystem II"	"K02705"	"photosystem II CP43 chlorophyll apoprotein"	"psbC"	"K02705 _ psbC"
"comp17532_c1_seq1.4608.6074.plus.P11"	2834.02	138.41	-4.35	9.24e-06	"yes"	"down"	"K02112"	"map00195"	"Prochlorococcus"	"K02112_Prochlorococcus"	4.35	"Produces ATP from ADP in the presence of a proton gradient across the membrane. The catalytic sites are hosted primarily by the beta subunits (By similarity)"	"K02112"	"F-type H+/Na+-transporting ATPase subunit beta [EC:7.1.2.2 7.2.2.1]"	"atpD"	"K02112 _ atpD"
"comp21841_c0_seq1.2233.2769.plus.P21"	1872.87	92.29	-4.34	1.03e-05	"yes"	"down"	"K02636"	"map00195"	"Prochlorococcus"	"K02636_Prochlorococcus"	4.34	"Component of the ubiquinol-cytochrome c reductase complex (complex III or cytochrome b-c1 complex), which is a respiratory chain that generates an electrochemical potential coupled to ATP synthesis (By similarity)"	"K02636"	"cytochrome b6-f complex iron-sulfur subunit [EC:7.1.1.6]"	"petC"	"K02636 _ petC"
"comp20656_c9_seq1.1123.2199.plus.P12"	33493.99	1163.24	-4.85	2.12e-05	"yes"	"down"	"K02706"	"map00195"	"Prochlorococcus"	"K02706_Prochlorococcus"	4.85	"One of the two reaction center proteins of photosystem II (PSII), D2 is needed for assembly of a stable PSII complex (By similarity)"	"K02706"	"photosystem II P680 reaction center D2 protein [EC:1.10.3.9]"	"psbD"	"K02706 _ psbD"
"comp5988_c0_seq1.1714.2679.minus.P13"	1959.99	117.3	-4.06	2.62e-05	"yes"	"down"	"K02634"	"map00195"	"Prochlorococcus"	"K02634_Prochlorococcus"	4.06	"Component of the cytochrome b6-f complex, which mediates electron transfer between photosystem II (PSII) and photosystem I (PSI), cyclic electron flow around PSI, and state transitions (By similarity)"	"K02634"	"apocytochrome f"	"petA"	"K02634 _ petA"
"comp20651_c47_seq1.340.819.plus.P12"	2727.41	149.13	-4.19	2.83e-05	"yes"	"down"	"K08902"	"map00195"	"Prochlorococcus"	"K08902_Prochlorococcus"	4.19	"Photosystem II"	"K08902"	"photosystem II Psb27 protein"	"psb27"	"K08902 _ psb27"
"comp20516_c21_seq1.3639.5153.minus.P12"	3883.56	250.35	-3.95	4.57e-05	"yes"	"down"	"K02111"	"map00195"	"Prochlorococcus"	"K02111_Prochlorococcus"	3.95	"Produces ATP from ADP in the presence of a proton gradient across the membrane. The alpha chain is a regulatory subunit (By similarity)"	"K02111"	"F-type H+/Na+-transporting ATPase subunit alpha [EC:7.1.2.2 7.2.2.1]"	"atpA"	"K02111 _ atpA"
"comp12222_c0_seq1.1565.1813.plus.P13"	1864.86	104.05	-4.16	5.89e-05	"yes"	"down"	"K02110"	"map00195"	"Prochlorococcus"	"K02110_Prochlorococcus"	4.16	"F(1)F(0) ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains, F(1) containing the extramembraneous catalytic core and F(0) containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation (By similarity)"	"K02110"	"F-type H+-transporting ATPase subunit c"	"atpE"	"K02110 _ atpE"
"comp17532_c1_seq1.6130.6537.plus.P11"	1331.4	86.64	-3.94	6.92e-05	"yes"	"down"	"K02114"	"map00195"	"Prochlorococcus"	"K02114_Prochlorococcus"	3.94	"Produces ATP from ADP in the presence of a proton gradient across the membrane (By similarity)"	"K02114"	"F-type H+-transporting ATPase subunit epsilon"	"atpC"	"K02114 _ atpC"
"comp17608_c69_seq1.31.1266.minus.P11"	77066.37	3511.68	-4.46	8.71e-05	"yes"	"down"	"K02703"	"map00195"	"Prochlorococcus"	"K02703_Prochlorococcus"	4.46	"This is one of the two reaction center proteins of photosystem II"	"K02703"	"photosystem II P680 reaction center D1 protein [EC:1.10.3.9]"	"-"	"K02703 _ -"
"comp13114_c0_seq1.19795.19992.plus.P13"	906.01	24.65	-5.19	0.000132	"yes"	"down"	"K02711"	"map00195"	"Prochlorococcus"	"K02711_Prochlorococcus"	5.19	"This protein is a component of the reaction center of photosystem II (By similarity)"	"K02711"	"photosystem II PsbJ protein"	"psbJ"	"K02711 _ psbJ"
"comp19723_c7_seq1.12949.13494.plus.P12"	950.35	80.51	-3.56	0.000151	"yes"	"down"	"K02717"	"map00195"	"Prochlorococcus"	"K02717_Prochlorococcus"	3.56	"-"	"K02717"	"photosystem II oxygen-evolving enhancer protein 2"	"psbP"	"K02717 _ psbP"
