GID	P1_vs_P2	P1_vs_P3	P1_vs_P4	P1_vs_P5	P1_vs_P6	P2_vs_P3	P2_vs_P4	P2_vs_P5	P2_vs_P6	P2_vs_P7	P3_vs_P4	P3_vs_P5	P3_vs_P6	P3_vs_P7	P4_vs_P5	P4_vs_P6	P5_vs_P6	Gene_Symbol	gene_0me
R8W_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R8W_47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EZ55_2_43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R8W_52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R8W_41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R8W_46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R8W_19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	flavin adenine dinucleotide binding	-
R8W_13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R8W_43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EZ55_18_145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Cyd operon protein YbgT	ybgT
EZ55_43_250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EZ55_14_12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R8W_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R8W_40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EZ55_66_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R8W_17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R8W_35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R8W_21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Ribonucleotide reductase, small chain"	-
R8W_14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R8W_28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
